Date,Hour,Daily Peak Probability
1/5/2009,5,0.024
1/5/2009,6,0.025
1/5/2009,7,0.027
1/5/2009,8,0.029
1/5/2009,9,0.031
1/5/2009,10,0.033
1/5/2009,11,0.035
1/5/2009,12,0.037
1/5/2009,13,0.040
1/5/2009,14,0.042
1/5/2009,15,0.045
1/5/2009,16,0.048
1/5/2009,17,0.051
1/5/2009,18,0.055
1/5/2009,19,0.058
1/5/2009,20,0.062
1/5/2009,21,0.066
1/5/2009,22,0.070
1/5/2009,23,0.075
1/5/2009,24,0.080
1/6/2009,1,0.018
1/6/2009,2,0.019
1/6/2009,3,0.021
1/6/2009,4,0.022
1/6/2009,5,0.024
1/6/2009,6,0.025
1/6/2009,7,0.027
1/6/2009,8,0.029
1/6/2009,9,0.031
1/6/2009,10,0.033
1/6/2009,11,0.035
1/6/2009,12,0.037
1/6/2009,13,0.040
1/6/2009,14,0.042
1/6/2009,15,0.045
1/6/2009,16,0.048
1/6/2009,17,0.051
1/6/2009,18,0.055
1/6/2009,19,0.058
1/6/2009,20,0.062
1/6/2009,21,0.066
1/6/2009,22,0.070
1/6/2009,23,0.075
1/6/2009,24,0.080
1/7/2009,1,0.018
1/7/2009,2,0.019
1/7/2009,3,0.021
1/7/2009,4,0.022
1/7/2009,5,0.024
1/7/2009,6,0.025
1/7/2009,7,0.027
1/7/2009,8,0.029
1/7/2009,9,0.031
1/7/2009,10,0.033
1/7/2009,11,0.035
1/7/2009,12,0.037
1/7/2009,13,0.040
1/7/2009,14,0.042
1/7/2009,15,0.045
1/7/2009,16,0.048
1/7/2009,17,0.051
1/7/2009,18,0.055
1/7/2009,19,0.058
1/7/2009,20,0.062
1/7/2009,21,0.066
1/7/2009,22,0.070
1/7/2009,23,0.075
1/7/2009,24,0.080
1/8/2009,1,0.018
1/8/2009,2,0.019
1/8/2009,3,0.021
1/8/2009,4,0.022
1/8/2009,5,0.024
1/8/2009,6,0.025
1/8/2009,7,0.027
1/8/2009,8,0.029
1/8/2009,9,0.031
1/8/2009,10,0.033
1/8/2009,11,0.035
1/8/2009,12,0.037
1/8/2009,13,0.040
1/8/2009,14,0.042
1/8/2009,15,0.045
1/8/2009,16,0.048
1/8/2009,17,0.051
1/8/2009,18,0.055
1/8/2009,19,0.058
1/8/2009,20,0.062
1/8/2009,21,0.066
1/8/2009,22,0.070
1/8/2009,23,0.075
1/8/2009,24,0.079
1/9/2009,1,0.018
1/9/2009,2,0.019
1/9/2009,3,0.021
1/9/2009,4,0.022
1/9/2009,5,0.024
1/9/2009,6,0.025
1/9/2009,7,0.027
1/9/2009,8,0.029
1/9/2009,9,0.031
1/9/2009,10,0.033
1/9/2009,11,0.035
1/9/2009,12,0.037
1/9/2009,13,0.040
1/9/2009,14,0.042
1/9/2009,15,0.045
1/9/2009,16,0.048
1/9/2009,17,0.051
1/9/2009,18,0.055
1/9/2009,19,0.058
1/9/2009,20,0.062
1/9/2009,21,0.066
1/9/2009,22,0.070
1/9/2009,23,0.075
1/9/2009,24,0.079
1/10/2009,1,0.018
1/10/2009,2,0.019
1/10/2009,3,0.021
1/10/2009,4,0.022
1/10/2009,5,0.024
1/10/2009,6,0.025
1/10/2009,7,0.027
1/10/2009,8,0.029
1/10/2009,9,0.031
1/10/2009,10,0.033
1/10/2009,11,0.035
1/10/2009,12,0.037
1/10/2009,13,0.040
1/10/2009,14,0.042
1/10/2009,15,0.045
1/10/2009,16,0.048
1/10/2009,17,0.051
1/10/2009,18,0.054
1/10/2009,19,0.058
1/10/2009,20,0.062
1/10/2009,21,0.066
1/10/2009,22,0.070
1/10/2009,23,0.075
1/10/2009,24,0.079
1/11/2009,1,0.018
1/11/2009,2,0.019
1/11/2009,3,0.021
1/11/2009,4,0.022
1/11/2009,5,0.024
1/11/2009,6,0.025
1/11/2009,7,0.027
1/11/2009,8,0.029
1/11/2009,9,0.031
1/11/2009,10,0.033
1/11/2009,11,0.035
1/11/2009,12,0.037
1/11/2009,13,0.040
1/11/2009,14,0.042
1/11/2009,15,0.045
1/11/2009,16,0.048
1/11/2009,17,0.051
1/11/2009,18,0.055
1/11/2009,19,0.058
1/11/2009,20,0.062
1/11/2009,21,0.066
1/11/2009,22,0.070
1/11/2009,23,0.075
1/11/2009,24,0.080
1/12/2009,1,0.018
1/12/2009,2,0.019
1/12/2009,3,0.021
1/12/2009,4,0.022
1/12/2009,5,0.024
1/12/2009,6,0.025
1/12/2009,7,0.027
1/12/2009,8,0.029
1/12/2009,9,0.031
1/12/2009,10,0.033
1/12/2009,11,0.035
1/12/2009,12,0.037
1/12/2009,13,0.040
1/12/2009,14,0.042
1/12/2009,15,0.045
1/12/2009,16,0.048
1/12/2009,17,0.051
1/12/2009,18,0.055
1/12/2009,19,0.058
1/12/2009,20,0.062
1/12/2009,21,0.066
1/12/2009,22,0.070
1/12/2009,23,0.075
1/12/2009,24,0.080
1/13/2009,1,0.018
1/13/2009,2,0.019
1/13/2009,3,0.021
1/13/2009,4,0.022
1/13/2009,5,0.024
1/13/2009,6,0.025
1/13/2009,7,0.027
1/13/2009,8,0.029
1/13/2009,9,0.031
1/13/2009,10,0.033
1/13/2009,11,0.035
1/13/2009,12,0.037
1/13/2009,13,0.040
1/13/2009,14,0.042
1/13/2009,15,0.045
1/13/2009,16,0.048
1/13/2009,17,0.051
1/13/2009,18,0.055
1/13/2009,19,0.058
1/13/2009,20,0.062
1/13/2009,21,0.066
1/13/2009,22,0.070
1/13/2009,23,0.075
1/13/2009,24,0.080
1/14/2009,1,0.018
1/14/2009,2,0.019
1/14/2009,3,0.021
1/14/2009,4,0.022
1/14/2009,5,0.024
1/14/2009,6,0.025
1/14/2009,7,0.027
1/14/2009,8,0.029
1/14/2009,9,0.031
1/14/2009,10,0.033
1/14/2009,11,0.035
1/14/2009,12,0.037
1/14/2009,13,0.040
1/14/2009,14,0.042
1/14/2009,15,0.045
1/14/2009,16,0.048
1/14/2009,17,0.051
1/14/2009,18,0.055
1/14/2009,19,0.058
1/14/2009,20,0.062
1/14/2009,21,0.066
1/14/2009,22,0.070
1/14/2009,23,0.075
1/14/2009,24,0.080
1/15/2009,1,0.018
1/15/2009,2,0.019
1/15/2009,3,0.021
1/15/2009,4,0.022
1/15/2009,5,0.024
1/15/2009,6,0.025
1/15/2009,7,0.027
1/15/2009,8,0.029
1/15/2009,9,0.031
1/15/2009,10,0.033
1/15/2009,11,0.035
1/15/2009,12,0.037
1/15/2009,13,0.040
1/15/2009,14,0.042
1/15/2009,15,0.045
1/15/2009,16,0.048
1/15/2009,17,0.051
1/15/2009,18,0.055
1/15/2009,19,0.058
1/15/2009,20,0.062
1/15/2009,21,0.066
1/15/2009,22,0.070
1/15/2009,23,0.075
1/15/2009,24,0.079
1/16/2009,1,0.018
1/16/2009,2,0.019
1/16/2009,3,0.021
1/16/2009,4,0.022
1/16/2009,5,0.024
1/16/2009,6,0.025
1/16/2009,7,0.027
1/16/2009,8,0.029
1/16/2009,9,0.031
1/16/2009,10,0.033
1/16/2009,11,0.035
1/16/2009,12,0.037
1/16/2009,13,0.040
1/16/2009,14,0.042
1/16/2009,15,0.045
1/16/2009,16,0.048
1/16/2009,17,0.051
1/16/2009,18,0.055
1/16/2009,19,0.058
1/16/2009,20,0.062
1/16/2009,21,0.066
1/16/2009,22,0.070
1/16/2009,23,0.075
1/16/2009,24,0.079
1/17/2009,1,0.018
1/17/2009,2,0.019
1/17/2009,3,0.021
1/17/2009,4,0.022
1/17/2009,5,0.024
1/17/2009,6,0.025
1/17/2009,7,0.027
1/17/2009,8,0.029
1/17/2009,9,0.031
1/17/2009,10,0.033
1/17/2009,11,0.035
1/17/2009,12,0.037
1/17/2009,13,0.040
1/17/2009,14,0.042
1/17/2009,15,0.045
1/17/2009,16,0.048
1/17/2009,17,0.051
1/17/2009,18,0.054
1/17/2009,19,0.058
1/17/2009,20,0.062
1/17/2009,21,0.066
1/17/2009,22,0.070
1/17/2009,23,0.075
1/17/2009,24,0.079
1/18/2009,1,0.018
1/18/2009,2,0.019
1/18/2009,3,0.021
1/18/2009,4,0.022
1/18/2009,5,0.024
1/18/2009,6,0.025
1/18/2009,7,0.027
1/18/2009,8,0.029
1/18/2009,9,0.031
1/18/2009,10,0.033
1/18/2009,11,0.035
1/18/2009,12,0.037
1/18/2009,13,0.040
1/18/2009,14,0.042
1/18/2009,15,0.045
1/18/2009,16,0.048
1/18/2009,17,0.051
1/18/2009,18,0.055
1/18/2009,19,0.058
1/18/2009,20,0.062
1/18/2009,21,0.066
1/18/2009,22,0.070
1/18/2009,23,0.075
1/18/2009,24,0.080
1/19/2009,1,0.018
1/19/2009,2,0.019
1/19/2009,3,0.021
1/19/2009,4,0.022
1/19/2009,5,0.024
1/19/2009,6,0.025
1/19/2009,7,0.027
1/19/2009,8,0.029
1/19/2009,9,0.031
1/19/2009,10,0.033
1/19/2009,11,0.035
1/19/2009,12,0.037
1/19/2009,13,0.040
1/19/2009,14,0.042
1/19/2009,15,0.045
1/19/2009,16,0.048
1/19/2009,17,0.051
1/19/2009,18,0.055
1/19/2009,19,0.058
1/19/2009,20,0.062
1/19/2009,21,0.066
1/19/2009,22,0.070
1/19/2009,23,0.075
1/19/2009,24,0.080
1/20/2009,1,0.018
1/20/2009,2,0.019
1/20/2009,3,0.021
1/20/2009,4,0.022
1/20/2009,5,0.024
1/20/2009,6,0.025
1/20/2009,7,0.027
1/20/2009,8,0.029
1/20/2009,9,0.031
1/20/2009,10,0.033
1/20/2009,11,0.035
1/20/2009,12,0.037
1/20/2009,13,0.040
1/20/2009,14,0.042
1/20/2009,15,0.045
1/20/2009,16,0.048
1/20/2009,17,0.051
1/20/2009,18,0.055
1/20/2009,19,0.058
1/20/2009,20,0.062
1/20/2009,21,0.066
1/20/2009,22,0.070
1/20/2009,23,0.075
1/20/2009,24,0.080
1/21/2009,1,0.018
1/21/2009,2,0.019
1/21/2009,3,0.021
1/21/2009,4,0.022
1/21/2009,5,0.024
1/21/2009,6,0.025
1/21/2009,7,0.027
1/21/2009,8,0.029
1/21/2009,9,0.031
1/21/2009,10,0.033
1/21/2009,11,0.035
1/21/2009,12,0.037
1/21/2009,13,0.040
1/21/2009,14,0.042
1/21/2009,15,0.045
1/21/2009,16,0.048
1/21/2009,17,0.051
1/21/2009,18,0.055
1/21/2009,19,0.058
1/21/2009,20,0.062
1/21/2009,21,0.066
1/21/2009,22,0.070
1/21/2009,23,0.075
1/21/2009,24,0.080
1/22/2009,1,0.018
1/22/2009,2,0.019
1/22/2009,3,0.021
1/22/2009,4,0.022
1/22/2009,5,0.024
1/22/2009,6,0.025
1/22/2009,7,0.027
1/22/2009,8,0.029
1/22/2009,9,0.031
1/22/2009,10,0.033
1/22/2009,11,0.035
1/22/2009,12,0.037
1/22/2009,13,0.040
1/22/2009,14,0.042
1/22/2009,15,0.045
1/22/2009,16,0.048
1/22/2009,17,0.051
1/22/2009,18,0.055
1/22/2009,19,0.058
1/22/2009,20,0.062
1/22/2009,21,0.066
1/22/2009,22,0.070
1/22/2009,23,0.075
1/22/2009,24,0.079
1/23/2009,1,0.018
1/23/2009,2,0.019
1/23/2009,3,0.021
1/23/2009,4,0.022
1/23/2009,5,0.024
1/23/2009,6,0.025
1/23/2009,7,0.027
1/23/2009,8,0.029
1/23/2009,9,0.031
1/23/2009,10,0.033
1/23/2009,11,0.035
1/23/2009,12,0.037
1/23/2009,13,0.040
1/23/2009,14,0.042
1/23/2009,15,0.045
1/23/2009,16,0.048
1/23/2009,17,0.051
1/23/2009,18,0.055
1/23/2009,19,0.058
1/23/2009,20,0.062
1/23/2009,21,0.066
1/23/2009,22,0.070
1/23/2009,23,0.075
1/23/2009,24,0.079
1/24/2009,1,0.018
1/24/2009,2,0.019
1/24/2009,3,0.021
1/24/2009,4,0.022
1/24/2009,5,0.024
1/24/2009,6,0.025
1/24/2009,7,0.027
1/24/2009,8,0.029
1/24/2009,9,0.031
1/24/2009,10,0.033
1/24/2009,11,0.035
1/24/2009,12,0.037
1/24/2009,13,0.040
1/24/2009,14,0.042
1/24/2009,15,0.045
1/24/2009,16,0.048
1/24/2009,17,0.051
1/24/2009,18,0.054
1/24/2009,19,0.058
1/24/2009,20,0.062
1/24/2009,21,0.066
1/24/2009,22,0.070
1/24/2009,23,0.075
1/24/2009,24,0.079
1/25/2009,1,0.018
1/25/2009,2,0.019
1/25/2009,3,0.021
1/25/2009,4,0.022
1/25/2009,5,0.024
1/25/2009,6,0.025
1/25/2009,7,0.027
1/25/2009,8,0.029
1/25/2009,9,0.031
1/25/2009,10,0.033
1/25/2009,11,0.035
1/25/2009,12,0.037
1/25/2009,13,0.040
1/25/2009,14,0.042
1/25/2009,15,0.045
1/25/2009,16,0.048
1/25/2009,17,0.051
1/25/2009,18,0.055
1/25/2009,19,0.058
1/25/2009,20,0.062
1/25/2009,21,0.066
1/25/2009,22,0.070
1/25/2009,23,0.075
1/25/2009,24,0.080
1/26/2009,1,0.018
1/26/2009,2,0.019
1/26/2009,3,0.021
1/26/2009,4,0.022
1/26/2009,5,0.024
1/26/2009,6,0.025
1/26/2009,7,0.027
1/26/2009,8,0.029
1/26/2009,9,0.031
1/26/2009,10,0.033
1/26/2009,11,0.035
1/26/2009,12,0.037
1/26/2009,13,0.040
1/26/2009,14,0.042
1/26/2009,15,0.045
1/26/2009,16,0.048
1/26/2009,17,0.051
1/26/2009,18,0.055
1/26/2009,19,0.058
1/26/2009,20,0.062
1/26/2009,21,0.066
1/26/2009,22,0.070
1/26/2009,23,0.075
1/26/2009,24,0.080
1/27/2009,1,0.018
1/27/2009,2,0.019
1/27/2009,3,0.021
1/27/2009,4,0.022
1/27/2009,5,0.024
1/27/2009,6,0.025
1/27/2009,7,0.027
1/27/2009,8,0.029
1/27/2009,9,0.031
1/27/2009,10,0.033
1/27/2009,11,0.035
1/27/2009,12,0.037
1/27/2009,13,0.040
1/27/2009,14,0.042
1/27/2009,15,0.045
1/27/2009,16,0.048
1/27/2009,17,0.051
1/27/2009,18,0.055
1/27/2009,19,0.058
1/27/2009,20,0.062
1/27/2009,21,0.066
1/27/2009,22,0.070
1/27/2009,23,0.075
1/27/2009,24,0.080
1/28/2009,1,0.018
1/28/2009,2,0.019
1/28/2009,3,0.021
1/28/2009,4,0.022
1/28/2009,5,0.024
1/28/2009,6,0.025
1/28/2009,7,0.027
1/28/2009,8,0.029
1/28/2009,9,0.031
1/28/2009,10,0.033
1/28/2009,11,0.035
1/28/2009,12,0.037
1/28/2009,13,0.040
1/28/2009,14,0.042
1/28/2009,15,0.045
1/28/2009,16,0.048
1/28/2009,17,0.051
1/28/2009,18,0.055
1/28/2009,19,0.058
1/28/2009,20,0.062
1/28/2009,21,0.066
1/28/2009,22,0.070
1/28/2009,23,0.075
1/28/2009,24,0.080
1/29/2009,1,0.018
1/29/2009,2,0.019
1/29/2009,3,0.021
1/29/2009,4,0.022
1/29/2009,5,0.024
1/29/2009,6,0.025
1/29/2009,7,0.027
1/29/2009,8,0.029
1/29/2009,9,0.031
1/29/2009,10,0.033
1/29/2009,11,0.035
1/29/2009,12,0.037
1/29/2009,13,0.040
1/29/2009,14,0.042
1/29/2009,15,0.045
1/29/2009,16,0.048
1/29/2009,17,0.051
1/29/2009,18,0.055
1/29/2009,19,0.058
1/29/2009,20,0.062
1/29/2009,21,0.066
1/29/2009,22,0.070
1/29/2009,23,0.075
1/29/2009,24,0.079
1/30/2009,1,0.018
1/30/2009,2,0.019
1/30/2009,3,0.021
1/30/2009,4,0.022
1/30/2009,5,0.024
1/30/2009,6,0.025
1/30/2009,7,0.027
1/30/2009,8,0.029
1/30/2009,9,0.031
1/30/2009,10,0.033
1/30/2009,11,0.035
1/30/2009,12,0.037
1/30/2009,13,0.040
1/30/2009,14,0.042
1/30/2009,15,0.045
1/30/2009,16,0.048
1/30/2009,17,0.051
1/30/2009,18,0.055
1/30/2009,19,0.058
1/30/2009,20,0.062
1/30/2009,21,0.066
1/30/2009,22,0.070
1/30/2009,23,0.075
1/30/2009,24,0.079
1/31/2009,1,0.018
1/31/2009,2,0.019
1/31/2009,3,0.021
1/31/2009,4,0.022
1/31/2009,5,0.024
1/31/2009,6,0.025
1/31/2009,7,0.027
1/31/2009,8,0.029
1/31/2009,9,0.031
1/31/2009,10,0.033
1/31/2009,11,0.035
1/31/2009,12,0.037
1/31/2009,13,0.040
1/31/2009,14,0.042
1/31/2009,15,0.045
1/31/2009,16,0.048
1/31/2009,17,0.051
1/31/2009,18,0.054
1/31/2009,19,0.058
1/31/2009,20,0.062
1/31/2009,21,0.066
1/31/2009,22,0.070
1/31/2009,23,0.075
1/31/2009,24,0.079
2/1/2009,1,0.018
2/1/2009,2,0.019
2/1/2009,3,0.021
2/1/2009,4,0.022
2/1/2009,5,0.024
2/1/2009,6,0.025
2/1/2009,7,0.027
2/1/2009,8,0.029
2/1/2009,9,0.031
2/1/2009,10,0.033
2/1/2009,11,0.035
2/1/2009,12,0.037
2/1/2009,13,0.040
2/1/2009,14,0.043
2/1/2009,15,0.045
2/1/2009,16,0.048
2/1/2009,17,0.051
2/1/2009,18,0.055
2/1/2009,19,0.058
2/1/2009,20,0.062
2/1/2009,21,0.066
2/1/2009,22,0.071
2/1/2009,23,0.075
2/1/2009,24,0.080
2/2/2009,1,0.018
2/2/2009,2,0.019
2/2/2009,3,0.021
2/2/2009,4,0.022
2/2/2009,5,0.024
2/2/2009,6,0.025
2/2/2009,7,0.027
2/2/2009,8,0.029
2/2/2009,9,0.031
2/2/2009,10,0.033
2/2/2009,11,0.035
2/2/2009,12,0.037
2/2/2009,13,0.040
2/2/2009,14,0.042
2/2/2009,15,0.045
2/2/2009,16,0.048
2/2/2009,17,0.051
2/2/2009,18,0.055
2/2/2009,19,0.058
2/2/2009,20,0.062
2/2/2009,21,0.066
2/2/2009,22,0.070
2/2/2009,23,0.075
2/2/2009,24,0.080
2/3/2009,1,0.018
2/3/2009,2,0.019
2/3/2009,3,0.021
2/3/2009,4,0.022
2/3/2009,5,0.024
2/3/2009,6,0.025
2/3/2009,7,0.027
2/3/2009,8,0.029
2/3/2009,9,0.031
2/3/2009,10,0.033
2/3/2009,11,0.035
2/3/2009,12,0.037
2/3/2009,13,0.040
2/3/2009,14,0.042
2/3/2009,15,0.045
2/3/2009,16,0.048
2/3/2009,17,0.051
2/3/2009,18,0.055
2/3/2009,19,0.058
2/3/2009,20,0.062
2/3/2009,21,0.066
2/3/2009,22,0.070
2/3/2009,23,0.075
2/3/2009,24,0.080
2/4/2009,1,0.018
2/4/2009,2,0.019
2/4/2009,3,0.021
2/4/2009,4,0.022
2/4/2009,5,0.024
2/4/2009,6,0.025
2/4/2009,7,0.027
2/4/2009,8,0.029
2/4/2009,9,0.031
2/4/2009,10,0.033
2/4/2009,11,0.035
2/4/2009,12,0.037
2/4/2009,13,0.040
2/4/2009,14,0.042
2/4/2009,15,0.045
2/4/2009,16,0.048
2/4/2009,17,0.051
2/4/2009,18,0.055
2/4/2009,19,0.058
2/4/2009,20,0.062
2/4/2009,21,0.066
2/4/2009,22,0.070
2/4/2009,23,0.075
2/4/2009,24,0.080
2/5/2009,1,0.018
2/5/2009,2,0.019
2/5/2009,3,0.021
2/5/2009,4,0.022
2/5/2009,5,0.024
2/5/2009,6,0.025
2/5/2009,7,0.027
2/5/2009,8,0.029
2/5/2009,9,0.031
2/5/2009,10,0.033
2/5/2009,11,0.035
2/5/2009,12,0.037
2/5/2009,13,0.040
2/5/2009,14,0.042
2/5/2009,15,0.045
2/5/2009,16,0.048
2/5/2009,17,0.051
2/5/2009,18,0.055
2/5/2009,19,0.058
2/5/2009,20,0.062
2/5/2009,21,0.066
2/5/2009,22,0.070
2/5/2009,23,0.075
2/5/2009,24,0.080
2/6/2009,1,0.018
2/6/2009,2,0.019
2/6/2009,3,0.021
2/6/2009,4,0.022
2/6/2009,5,0.024
2/6/2009,6,0.025
2/6/2009,7,0.027
2/6/2009,8,0.029
2/6/2009,9,0.031
2/6/2009,10,0.033
2/6/2009,11,0.035
2/6/2009,12,0.037
2/6/2009,13,0.040
2/6/2009,14,0.042
2/6/2009,15,0.045
2/6/2009,16,0.048
2/6/2009,17,0.051
2/6/2009,18,0.055
2/6/2009,19,0.058
2/6/2009,20,0.062
2/6/2009,21,0.066
2/6/2009,22,0.070
2/6/2009,23,0.075
2/6/2009,24,0.080
2/7/2009,1,0.018
2/7/2009,2,0.019
2/7/2009,3,0.021
2/7/2009,4,0.022
2/7/2009,5,0.024
2/7/2009,6,0.025
2/7/2009,7,0.027
2/7/2009,8,0.029
2/7/2009,9,0.031
2/7/2009,10,0.033
2/7/2009,11,0.035
2/7/2009,12,0.037
2/7/2009,13,0.040
2/7/2009,14,0.042
2/7/2009,15,0.045
2/7/2009,16,0.048
2/7/2009,17,0.051
2/7/2009,18,0.055
2/7/2009,19,0.058
2/7/2009,20,0.062
2/7/2009,21,0.066
2/7/2009,22,0.070
2/7/2009,23,0.075
2/7/2009,24,0.079
2/8/2009,1,0.018
2/8/2009,2,0.019
2/8/2009,3,0.021
2/8/2009,4,0.022
2/8/2009,5,0.024
2/8/2009,6,0.025
2/8/2009,7,0.027
2/8/2009,8,0.029
2/8/2009,9,0.031
2/8/2009,10,0.033
2/8/2009,11,0.035
2/8/2009,12,0.037
2/8/2009,13,0.040
2/8/2009,14,0.043
2/8/2009,15,0.045
2/8/2009,16,0.048
2/8/2009,17,0.051
2/8/2009,18,0.055
2/8/2009,19,0.058
2/8/2009,20,0.062
2/8/2009,21,0.066
2/8/2009,22,0.071
2/8/2009,23,0.075
2/8/2009,24,0.080
2/9/2009,1,0.018
2/9/2009,2,0.019
2/9/2009,3,0.021
2/9/2009,4,0.022
2/9/2009,5,0.024
2/9/2009,6,0.025
2/9/2009,7,0.027
2/9/2009,8,0.029
2/9/2009,9,0.031
2/9/2009,10,0.033
2/9/2009,11,0.035
2/9/2009,12,0.037
2/9/2009,13,0.040
2/9/2009,14,0.042
2/9/2009,15,0.045
2/9/2009,16,0.048
2/9/2009,17,0.051
2/9/2009,18,0.055
2/9/2009,19,0.058
2/9/2009,20,0.062
2/9/2009,21,0.066
2/9/2009,22,0.070
2/9/2009,23,0.075
2/9/2009,24,0.080
2/10/2009,1,0.018
2/10/2009,2,0.019
2/10/2009,3,0.021
2/10/2009,4,0.022
2/10/2009,5,0.024
2/10/2009,6,0.025
2/10/2009,7,0.027
2/10/2009,8,0.029
2/10/2009,9,0.031
2/10/2009,10,0.033
2/10/2009,11,0.035
2/10/2009,12,0.037
2/10/2009,13,0.040
2/10/2009,14,0.042
2/10/2009,15,0.045
2/10/2009,16,0.048
2/10/2009,17,0.051
2/10/2009,18,0.055
2/10/2009,19,0.058
2/10/2009,20,0.062
2/10/2009,21,0.066
2/10/2009,22,0.070
2/10/2009,23,0.075
2/10/2009,24,0.080
2/11/2009,1,0.018
2/11/2009,2,0.019
2/11/2009,3,0.021
2/11/2009,4,0.022
2/11/2009,5,0.024
2/11/2009,6,0.025
2/11/2009,7,0.027
2/11/2009,8,0.029
2/11/2009,9,0.031
2/11/2009,10,0.033
2/11/2009,11,0.035
2/11/2009,12,0.037
2/11/2009,13,0.040
2/11/2009,14,0.042
2/11/2009,15,0.045
2/11/2009,16,0.048
2/11/2009,17,0.051
2/11/2009,18,0.055
2/11/2009,19,0.058
2/11/2009,20,0.062
2/11/2009,21,0.066
2/11/2009,22,0.070
2/11/2009,23,0.075
2/11/2009,24,0.080
2/12/2009,1,0.018
2/12/2009,2,0.019
2/12/2009,3,0.021
2/12/2009,4,0.022
2/12/2009,5,0.024
2/12/2009,6,0.025
2/12/2009,7,0.027
2/12/2009,8,0.029
2/12/2009,9,0.031
2/12/2009,10,0.033
2/12/2009,11,0.035
2/12/2009,12,0.037
2/12/2009,13,0.040
2/12/2009,14,0.042
2/12/2009,15,0.045
2/12/2009,16,0.048
2/12/2009,17,0.051
2/12/2009,18,0.055
2/12/2009,19,0.058
2/12/2009,20,0.062
2/12/2009,21,0.066
2/12/2009,22,0.070
2/12/2009,23,0.075
2/12/2009,24,0.080
2/13/2009,1,0.018
2/13/2009,2,0.019
2/13/2009,3,0.021
2/13/2009,4,0.022
2/13/2009,5,0.024
2/13/2009,6,0.025
2/13/2009,7,0.027
2/13/2009,8,0.029
2/13/2009,9,0.031
2/13/2009,10,0.033
2/13/2009,11,0.035
2/13/2009,12,0.037
2/13/2009,13,0.040
2/13/2009,14,0.042
2/13/2009,15,0.045
2/13/2009,16,0.048
2/13/2009,17,0.051
2/13/2009,18,0.055
2/13/2009,19,0.058
2/13/2009,20,0.062
2/13/2009,21,0.066
2/13/2009,22,0.070
2/13/2009,23,0.075
2/13/2009,24,0.080
2/14/2009,1,0.018
2/14/2009,2,0.019
2/14/2009,3,0.021
2/14/2009,4,0.022
2/14/2009,5,0.024
2/14/2009,6,0.025
2/14/2009,7,0.027
2/14/2009,8,0.029
2/14/2009,9,0.031
2/14/2009,10,0.033
2/14/2009,11,0.035
2/14/2009,12,0.037
2/14/2009,13,0.040
2/14/2009,14,0.042
2/14/2009,15,0.045
2/14/2009,16,0.048
2/14/2009,17,0.051
2/14/2009,18,0.055
