Trend,Date,Hour,Load,Peak
131,1/6/2005,11,877,0
132,1/6/2005,12,858,0
133,1/6/2005,13,840,0
134,1/6/2005,14,844,0
135,1/6/2005,15,839,0
136,1/6/2005,16,842,0
137,1/6/2005,17,883,0
138,1/6/2005,18,989,0
139,1/6/2005,19,1076,0
140,1/6/2005,20,1078,1
141,1/6/2005,21,1051,0
142,1/6/2005,22,972,0
143,1/6/2005,23,848,0
144,1/6/2005,24,724,0
145,1/7/2005,1,651,0
146,1/7/2005,2,624,0
147,1/7/2005,3,619,0
148,1/7/2005,4,639,0
149,1/7/2005,5,686,0
150,1/7/2005,6,823,0
151,1/7/2005,7,1048,0
152,1/7/2005,8,1100,1
153,1/7/2005,9,1019,0
154,1/7/2005,10,977,0
155,1/7/2005,11,951,0
156,1/7/2005,12,925,0
157,1/7/2005,13,888,0
158,1/7/2005,14,859,0
159,1/7/2005,15,828,0
160,1/7/2005,16,823,0
161,1/7/2005,17,863,0
162,1/7/2005,18,978,0
163,1/7/2005,19,1054,0
164,1/7/2005,20,1030,0
165,1/7/2005,21,999,0
166,1/7/2005,22,956,0
167,1/7/2005,23,887,0
168,1/7/2005,24,793,0
169,1/8/2005,1,719,0
170,1/8/2005,2,678,0
171,1/8/2005,3,664,0
172,1/8/2005,4,666,0
173,1/8/2005,5,682,0
174,1/8/2005,6,722,0
175,1/8/2005,7,782,0
176,1/8/2005,8,860,0
177,1/8/2005,9,947,0
178,1/8/2005,10,1007,0
179,1/8/2005,11,1030,1
180,1/8/2005,12,1017,0
181,1/8/2005,13,975,0
182,1/8/2005,14,918,0
183,1/8/2005,15,856,0
184,1/8/2005,16,823,0
185,1/8/2005,17,832,0
186,1/8/2005,18,917,0
187,1/8/2005,19,1010,0
188,1/8/2005,20,994,0
189,1/8/2005,21,982,0
190,1/8/2005,22,958,0
191,1/8/2005,23,908,0
192,1/8/2005,24,835,0
193,1/9/2005,1,774,0
194,1/9/2005,2,745,0
195,1/9/2005,3,738,0
196,1/9/2005,4,746,0
197,1/9/2005,5,762,0
198,1/9/2005,6,805,0
199,1/9/2005,7,878,0
200,1/9/2005,8,977,0
201,1/9/2005,9,1090,0
202,1/9/2005,10,1061,0
203,1/9/2005,11,958,0
204,1/9/2005,12,890,0
205,1/9/2005,13,874,0
206,1/9/2005,14,837,0
207,1/9/2005,15,796,0
208,1/9/2005,16,782,0
209,1/9/2005,17,807,0
210,1/9/2005,18,942,0
211,1/9/2005,19,1085,0
212,1/9/2005,20,1121,0
213,1/9/2005,21,1126,1
214,1/9/2005,22,1076,0
215,1/9/2005,23,999,0
216,1/9/2005,24,909,0
217,1/10/2005,1,862,0
218,1/10/2005,2,857,0
219,1/10/2005,3,873,0
220,1/10/2005,4,900,0
221,1/10/2005,5,955,0
222,1/10/2005,6,1094,0
223,1/10/2005,7,1302,0
224,1/10/2005,8,1319,1
225,1/10/2005,9,1221,0
226,1/10/2005,10,1142,0
227,1/10/2005,11,1064,0
228,1/10/2005,12,975,0
229,1/10/2005,13,898,0
230,1/10/2005,14,863,0
231,1/10/2005,15,830,0
232,1/10/2005,16,826,0
233,1/10/2005,17,866,0
234,1/10/2005,18,1000,0
235,1/10/2005,19,1139,0
236,1/10/2005,20,1161,0
237,1/10/2005,21,1151,0
238,1/10/2005,22,1089,0
239,1/10/2005,23,979,0
240,1/10/2005,24,873,0
241,1/11/2005,1,812,0
242,1/11/2005,2,796,0
243,1/11/2005,3,803,0
244,1/11/2005,4,816,0
245,1/11/2005,5,867,0
246,1/11/2005,6,998,0
247,1/11/2005,7,1215,0
248,1/11/2005,8,1246,1
249,1/11/2005,9,1151,0
250,1/11/2005,10,1082,0
251,1/11/2005,11,1011,0
252,1/11/2005,12,947,0
253,1/11/2005,13,884,0
254,1/11/2005,14,849,0
255,1/11/2005,15,817,0
256,1/11/2005,16,810,0
257,1/11/2005,17,849,0
258,1/11/2005,18,986,0
259,1/11/2005,19,1132,0
260,1/11/2005,20,1148,0
261,1/11/2005,21,1139,0
262,1/11/2005,22,1074,0
263,1/11/2005,23,966,0
264,1/11/2005,24,857,0
265,1/12/2005,1,791,0
266,1/12/2005,2,771,0
267,1/12/2005,3,762,0
268,1/12/2005,4,764,0
269,1/12/2005,5,813,0
270,1/12/2005,6,945,0
271,1/12/2005,7,1152,0
272,1/12/2005,8,1171,1
273,1/12/2005,9,1060,0
274,1/12/2005,10,1006,0
275,1/12/2005,11,961,0
276,1/12/2005,12,918,0
277,1/12/2005,13,880,0
278,1/12/2005,14,850,0
279,1/12/2005,15,814,0
280,1/12/2005,16,814,0
281,1/12/2005,17,855,0
282,1/12/2005,18,978,0
283,1/12/2005,19,1088,0
284,1/12/2005,20,1082,0
285,1/12/2005,21,1056,0
286,1/12/2005,22,988,0
287,1/12/2005,23,860,0
288,1/12/2005,24,727,0
289,1/13/2005,1,633,0
290,1/13/2005,2,595,0
291,1/13/2005,3,574,0
292,1/13/2005,4,575,0
293,1/13/2005,5,604,0
294,1/13/2005,6,715,0
295,1/13/2005,7,920,0
296,1/13/2005,8,949,0
297,1/13/2005,9,862,0
298,1/13/2005,10,844,0
299,1/13/2005,11,832,0
300,1/13/2005,12,817,0
301,1/13/2005,13,800,0
302,1/13/2005,14,796,0
303,1/13/2005,15,784,0
304,1/13/2005,16,785,0
305,1/13/2005,17,818,0
306,1/13/2005,18,928,0
307,1/13/2005,19,1037,0
308,1/13/2005,20,1048,1
309,1/13/2005,21,1021,0
310,1/13/2005,22,946,0
311,1/13/2005,23,822,0
312,1/13/2005,24,696,0
313,1/14/2005,1,605,0
314,1/14/2005,2,556,0
315,1/14/2005,3,529,0
316,1/14/2005,4,525,0
317,1/14/2005,5,560,0
318,1/14/2005,6,671,0
319,1/14/2005,7,873,0
320,1/14/2005,8,941,0
321,1/14/2005,9,894,0
322,1/14/2005,10,912,0
323,1/14/2005,11,934,0
324,1/14/2005,12,952,0
325,1/14/2005,13,951,0
326,1/14/2005,14,955,0
327,1/14/2005,15,957,0
328,1/14/2005,16,980,0
329,1/14/2005,17,1002,0
330,1/14/2005,18,1097,0
331,1/14/2005,19,1236,0
332,1/14/2005,20,1241,1
333,1/14/2005,21,1236,0
334,1/14/2005,22,1213,0
335,1/14/2005,23,1166,0
336,1/14/2005,24,1099,0
337,1/15/2005,1,1046,0
338,1/15/2005,2,1035,0
339,1/15/2005,3,1046,0
340,1/15/2005,4,1072,0
341,1/15/2005,5,1108,0
342,1/15/2005,6,1165,0
343,1/15/2005,7,1232,0
344,1/15/2005,8,1307,0
345,1/15/2005,9,1388,0
346,1/15/2005,10,1396,1
347,1/15/2005,11,1336,0
348,1/15/2005,12,1255,0
349,1/15/2005,13,1177,0
350,1/15/2005,14,1119,0
351,1/15/2005,15,1077,0
352,1/15/2005,16,1083,0
353,1/15/2005,17,1150,0
354,1/15/2005,18,1251,0
355,1/15/2005,19,1341,0
356,1/15/2005,20,1321,0
357,1/15/2005,21,1314,0
358,1/15/2005,22,1280,0
359,1/15/2005,23,1229,0
360,1/15/2005,24,1154,0
361,1/16/2005,1,1091,0
362,1/16/2005,2,1069,0
363,1/16/2005,3,1069,0
364,1/16/2005,4,1080,0
365,1/16/2005,5,1105,0
366,1/16/2005,6,1139,0
367,1/16/2005,7,1192,0
368,1/16/2005,8,1284,0
369,1/16/2005,9,1395,1
370,1/16/2005,10,1347,0
371,1/16/2005,11,1207,0
372,1/16/2005,12,1107,0
373,1/16/2005,13,1050,0
374,1/16/2005,14,986,0
375,1/16/2005,15,928,0
376,1/16/2005,16,904,0
377,1/16/2005,17,940,0
378,1/16/2005,18,1091,0
379,1/16/2005,19,1247,0
380,1/16/2005,20,1288,0
381,1/16/2005,21,1301,0
382,1/16/2005,22,1273,0
383,1/16/2005,23,1229,0
384,1/16/2005,24,1182,0
385,1/17/2005,1,1159,0
386,1/17/2005,2,1179,0
387,1/17/2005,3,1216,0
388,1/17/2005,4,1269,0
389,1/17/2005,5,1353,0
390,1/17/2005,6,1490,0
391,1/17/2005,7,1639,0
392,1/17/2005,8,1720,0
393,1/17/2005,9,1703,0
394,1/17/2005,10,1659,0
395,1/17/2005,11,1598,0
396,1/17/2005,12,1511,0
397,1/17/2005,13,1418,0
398,1/17/2005,14,1358,0
399,1/17/2005,15,1299,0
400,1/17/2005,16,1287,0
401,1/17/2005,17,1331,0
402,1/17/2005,18,1530,0
403,1/17/2005,19,1712,0
404,1/17/2005,20,1746,0
405,1/17/2005,21,1757,1
406,1/17/2005,22,1703,0
407,1/17/2005,23,1599,0
408,1/17/2005,24,1517,0
409,1/18/2005,1,1485,0
410,1/18/2005,2,1497,0
411,1/18/2005,3,1525,0
412,1/18/2005,4,1564,0
413,1/18/2005,5,1633,0
414,1/18/2005,6,1775,0
415,1/18/2005,7,1999,0
416,1/18/2005,8,2016,1
417,1/18/2005,9,1893,0
418,1/18/2005,10,1768,0
419,1/18/2005,11,1651,0
420,1/18/2005,12,1542,0
421,1/18/2005,13,1430,0
422,1/18/2005,14,1349,0
423,1/18/2005,15,1283,0
424,1/18/2005,16,1266,0
425,1/18/2005,17,1320,0
426,1/18/2005,18,1533,0
427,1/18/2005,19,1741,0
428,1/18/2005,20,1806,0
429,1/18/2005,21,1829,0
430,1/18/2005,22,1795,0
431,1/18/2005,23,1715,0
432,1/18/2005,24,1632,0
433,1/19/2005,1,1612,0
434,1/19/2005,2,1625,0
435,1/19/2005,3,1660,0
436,1/19/2005,4,1684,0
437,1/19/2005,5,1720,0
438,1/19/2005,6,1814,0
439,1/19/2005,7,1933,1
440,1/19/2005,8,1896,0
441,1/19/2005,9,1853,0
442,1/19/2005,10,1822,0
443,1/19/2005,11,1785,0
444,1/19/2005,12,1740,0
445,1/19/2005,13,1670,0
446,1/19/2005,14,1607,0
447,1/19/2005,15,1549,0
448,1/19/2005,16,1468,0
449,1/19/2005,17,1446,0
450,1/19/2005,18,1566,0
451,1/19/2005,19,1702,0
452,1/19/2005,20,1715,0
453,1/19/2005,21,1705,0
454,1/19/2005,22,1660,0
455,1/19/2005,23,1543,0
456,1/19/2005,24,1435,0
457,1/20/2005,1,1389,0
458,1/20/2005,2,1397,0
459,1/20/2005,3,1419,0
460,1/20/2005,4,1445,0
461,1/20/2005,5,1501,0
462,1/20/2005,6,1621,0
463,1/20/2005,7,1783,0
464,1/20/2005,8,1790,1
465,1/20/2005,9,1753,0
466,1/20/2005,10,1635,0
467,1/20/2005,11,1478,0
468,1/20/2005,12,1368,0
469,1/20/2005,13,1282,0
470,1/20/2005,14,1215,0
471,1/20/2005,15,1171,0
472,1/20/2005,16,1178,0
473,1/20/2005,17,1229,0
474,1/20/2005,18,1335,0
475,1/20/2005,19,1419,0
476,1/20/2005,20,1426,0
477,1/20/2005,21,1428,0
478,1/20/2005,22,1358,0
479,1/20/2005,23,1238,0
480,1/20/2005,24,1119,0
481,1/21/2005,1,1052,0
482,1/21/2005,2,1025,0
483,1/21/2005,3,1021,0
484,1/21/2005,4,1030,0
485,1/21/2005,5,1075,0
486,1/21/2005,6,1187,0
487,1/21/2005,7,1382,0
488,1/21/2005,8,1416,0
489,1/21/2005,9,1370,0
490,1/21/2005,10,1362,0
491,1/21/2005,11,1344,0
492,1/21/2005,12,1321,0
493,1/21/2005,13,1295,0
494,1/21/2005,14,1290,0
495,1/21/2005,15,1296,0
496,1/21/2005,16,1333,0
497,1/21/2005,17,1391,0
498,1/21/2005,18,1481,0
499,1/21/2005,19,1553,1
500,1/21/2005,20,1527,0
501,1/21/2005,21,1495,0
502,1/21/2005,22,1451,0
503,1/21/2005,23,1383,0
504,1/21/2005,24,1297,0
505,1/22/2005,1,1223,0
506,1/22/2005,2,1188,0
507,1/22/2005,3,1173,0
508,1/22/2005,4,1177,0
509,1/22/2005,5,1198,0
510,1/22/2005,6,1237,0
511,1/22/2005,7,1306,0
512,1/22/2005,8,1401,0
513,1/22/2005,9,1515,0
514,1/22/2005,10,1596,0
515,1/22/2005,11,1647,0
516,1/22/2005,12,1663,1
517,1/22/2005,13,1655,0
518,1/22/2005,14,1619,0
519,1/22/2005,15,1585,0
520,1/22/2005,16,1567,0
521,1/22/2005,17,1583,0
522,1/22/2005,18,1599,0
523,1/22/2005,19,1625,0
524,1/22/2005,20,1572,0
525,1/22/2005,21,1499,0
526,1/22/2005,22,1427,0
527,1/22/2005,23,1381,0
528,1/22/2005,24,1332,0
529,1/23/2005,1,1316,0
530,1/23/2005,2,1338,0
531,1/23/2005,3,1375,0
532,1/23/2005,4,1434,0
533,1/23/2005,5,1513,0
534,1/23/2005,6,1592,0
535,1/23/2005,7,1678,0
536,1/23/2005,8,1763,0
537,1/23/2005,9,1843,0
538,1/23/2005,10,1843,0
539,1/23/2005,11,1761,0
540,1/23/2005,12,1690,0
541,1/23/2005,13,1631,0
542,1/23/2005,14,1553,0
543,1/23/2005,15,1487,0
544,1/23/2005,16,1453,0
545,1/23/2005,17,1490,0
546,1/23/2005,18,1649,0
547,1/23/2005,19,1841,0
548,1/23/2005,20,1884,0
549,1/23/2005,21,1892,1
550,1/23/2005,22,1836,0
551,1/23/2005,23,1754,0
552,1/23/2005,24,1676,0
553,1/24/2005,1,1655,0
554,1/24/2005,2,1678,0
555,1/24/2005,3,1716,0
556,1/24/2005,4,1741,0
557,1/24/2005,5,1832,0
558,1/24/2005,6,1994,0
559,1/24/2005,7,2176,0
560,1/24/2005,8,2186,1
561,1/24/2005,9,2072,0
562,1/24/2005,10,1855,0
563,1/24/2005,11,1618,0
564,1/24/2005,12,1465,0
565,1/24/2005,13,1353,0
566,1/24/2005,14,1282,0
567,1/24/2005,15,1242,0
568,1/24/2005,16,1270,0
569,1/24/2005,17,1291,0
570,1/24/2005,18,1393,0
571,1/24/2005,19,1534,0
572,1/24/2005,20,1553,0
573,1/24/2005,21,1560,0
574,1/24/2005,22,1513,0
575,1/24/2005,23,1410,0
576,1/24/2005,24,1314,0
577,1/25/2005,1,1260,0
578,1/25/2005,2,1251,0
579,1/25/2005,3,1266,0
580,1/25/2005,4,1296,0
581,1/25/2005,5,1359,0
582,1/25/2005,6,1482,0
583,1/25/2005,7,1688,1
584,1/25/2005,8,1682,0
585,1/25/2005,9,1524,0
586,1/25/2005,10,1356,0
587,1/25/2005,11,1206,0
588,1/25/2005,12,1093,0
589,1/25/2005,13,1003,0
590,1/25/2005,14,951,0
591,1/25/2005,15,904,0
592,1/25/2005,16,889,0
593,1/25/2005,17,927,0
594,1/25/2005,18,1048,0
595,1/25/2005,19,1240,0
596,1/25/2005,20,1309,0
597,1/25/2005,21,1313,0
598,1/25/2005,22,1280,0
599,1/25/2005,23,1183,0
600,1/25/2005,24,1081,0
601,1/26/2005,1,1030,0
602,1/26/2005,2,1023,0
603,1/26/2005,3,1038,0
604,1/26/2005,4,1051,0
605,1/26/2005,5,1096,0
606,1/26/2005,6,1223,0
607,1/26/2005,7,1417,0
608,1/26/2005,8,1429,1
609,1/26/2005,9,1319,0
610,1/26/2005,10,1235,0
611,1/26/2005,11,1127,0
612,1/26/2005,12,1016,0
613,1/26/2005,13,927,0
614,1/26/2005,14,890,0
615,1/26/2005,15,848,0
616,1/26/2005,16,843,0
617,1/26/2005,17,878,0
618,1/26/2005,18,975,0
619,1/26/2005,19,1135,0
620,1/26/2005,20,1159,0
621,1/26/2005,21,1150,0
622,1/26/2005,22,1122,0
623,1/26/2005,23,1026,0
624,1/26/2005,24,922,0
625,1/27/2005,1,864,0
626,1/27/2005,2,863,0
627,1/27/2005,3,887,0
628,1/27/2005,4,921,0
629,1/27/2005,5,987,0
630,1/27/2005,6,1155,0
631,1/27/2005,7,1391,0
632,1/27/2005,8,1424,0
633,1/27/2005,9,1308,0
634,1/27/2005,10,1218,0
635,1/27/2005,11,1151,0
636,1/27/2005,12,1086,0
637,1/27/2005,13,1023,0
638,1/27/2005,14,984,0
639,1/27/2005,15,954,0
640,1/27/2005,16,954,0
641,1/27/2005,17,993,0
642,1/27/2005,18,1155,0
643,1/27/2005,19,1379,0
644,1/27/2005,20,1460,0
645,1/27/2005,21,1503,1
646,1/27/2005,22,1474,0
647,1/27/2005,23,1382,0
648,1/27/2005,24,1286,0
649,1/28/2005,1,1243,0
650,1/28/2005,2,1247,0
651,1/28/2005,3,1280,0
652,1/28/2005,4,1324,0
653,1/28/2005,5,1396,0
654,1/28/2005,6,1542,0
655,1/28/2005,7,1782,0
656,1/28/2005,8,1821,1
657,1/28/2005,9,1736,0
658,1/28/2005,10,1672,0
659,1/28/2005,11,1578,0
660,1/28/2005,12,1475,0
661,1/28/2005,13,1375,0
662,1/28/2005,14,1299,0
663,1/28/2005,15,1279,0
664,1/28/2005,16,1271,0
665,1/28/2005,17,1316,0
666,1/28/2005,18,1442,0
667,1/28/2005,19,1565,0
668,1/28/2005,20,1566,0
669,1/28/2005,21,1568,0
670,1/28/2005,22,1557,0
671,1/28/2005,23,1516,0
672,1/28/2005,24,1427,0
673,1/29/2005,1,1347,0
674,1/29/2005,2,1315,0
675,1/29/2005,3,1314,0
676,1/29/2005,4,1324,0
677,1/29/2005,5,1345,0
678,1/29/2005,6,1390,0
679,1/29/2005,7,1452,0
680,1/29/2005,8,1537,0
681,1/29/2005,9,1633,0
682,1/29/2005,10,1669,0
683,1/29/2005,11,1662,0
684,1/29/2005,12,1657,0
685,1/29/2005,13,1671,0
686,1/29/2005,14,1670,0
687,1/29/2005,15,1638,0
688,1/29/2005,16,1616,0
689,1/29/2005,17,1635,0
690,1/29/2005,18,1688,0
691,1/29/2005,19,1755,1
692,1/29/2005,20,1699,0
693,1/29/2005,21,1619,0
694,1/29/2005,22,1533,0
695,1/29/2005,23,1444,0
696,1/29/2005,24,1352,0
697,1/30/2005,1,1284,0
698,1/30/2005,2,1243,0
699,1/30/2005,3,1222,0
700,1/30/2005,4,1211,0
701,1/30/2005,5,1215,0
702,1/30/2005,6,1234,0
703,1/30/2005,7,1269,0
704,1/30/2005,8,1317,0
705,1/30/2005,9,1405,0
706,1/30/2005,10,1464,1
707,1/30/2005,11,1450,0
708,1/30/2005,12,1407,0
709,1/30/2005,13,1336,0
710,1/30/2005,14,1224,0
711,1/30/2005,15,1111,0
712,1/30/2005,16,1040,0
713,1/30/2005,17,1052,0
714,1/30/2005,18,1160,0
715,1/30/2005,19,1313,0
716,1/30/2005,20,1347,0
717,1/30/2005,21,1325,0
718,1/30/2005,22,1254,0
719,1/30/2005,23,1149,0
720,1/30/2005,24,1069,0
721,1/31/2005,1,1019,0
722,1/31/2005,2,1018,0
723,1/31/2005,3,1047,0
724,1/31/2005,4,1096,0
725,1/31/2005,5,1183,0
726,1/31/2005,6,1350,0
727,1/31/2005,7,1550,0
728,1/31/2005,8,1616,1
729,1/31/2005,9,1548,0
730,1/31/2005,10,1382,0
731,1/31/2005,11,1250,0
732,1/31/2005,12,1154,0
733,1/31/2005,13,1080,0
734,1/31/2005,14,1032,0
735,1/31/2005,15,984,0
736,1/31/2005,16,977,0
737,1/31/2005,17,1019,0
738,1/31/2005,18,1163,0
739,1/31/2005,19,1382,0
740,1/31/2005,20,1456,0
741,1/31/2005,21,1469,0
742,1/31/2005,22,1425,0
743,1/31/2005,23,1327,0
744,1/31/2005,24,1236,0
745,2/1/2005,1,1190,0
746,2/1/2005,2,1189,0
747,2/1/2005,3,1208,0
748,2/1/2005,4,1217,0
749,2/1/2005,5,1259,0
750,2/1/2005,6,1392,0
751,2/1/2005,7,1585,0
752,2/1/2005,8,1588,1
753,2/1/2005,9,1493,0
754,2/1/2005,10,1444,0
755,2/1/2005,11,1400,0
756,2/1/2005,12,1332,0
757,2/1/2005,13,1257,0
758,2/1/2005,14,1199,0
759,2/1/2005,15,1150,0
760,2/1/2005,16,1132,0
761,2/1/2005,17,1164,0
762,2/1/2005,18,1298,0
763,2/1/2005,19,1497,0
764,2/1/2005,20,1562,0
765,2/1/2005,21,1564,0
766,2/1/2005,22,1542,0
767,2/1/2005,23,1452,0
768,2/1/2005,24,1361,0
769,2/2/2005,1,1321,0
770,2/2/2005,2,1318,0
771,2/2/2005,3,1320,0
772,2/2/2005,4,1325,0
773,2/2/2005,5,1382,0
774,2/2/2005,6,1536,0
775,2/2/2005,7,1762,0
776,2/2/2005,8,1775,1
777,2/2/2005,9,1617,0
778,2/2/2005,10,1505,0
779,2/2/2005,11,1425,0
780,2/2/2005,12,1345,0
781,2/2/2005,13,1288,0
782,2/2/2005,14,1254,0
783,2/2/2005,15,1237,0
784,2/2/2005,16,1237,0
785,2/2/2005,17,1286,0
786,2/2/2005,18,1384,0
787,2/2/2005,19,1490,0
788,2/2/2005,20,1482,0
789,2/2/2005,21,1436,0
790,2/2/2005,22,1386,0
791,2/2/2005,23,1261,0
792,2/2/2005,24,1131,0
793,2/3/2005,1,1054,0
794,2/3/2005,2,1024,0
795,2/3/2005,3,1032,0
796,2/3/2005,4,1063,0
797,2/3/2005,5,1134,0
798,2/3/2005,6,1289,0
799,2/3/2005,7,1494,0
800,2/3/2005,8,1538,0
801,2/3/2005,9,1484,0
802,2/3/2005,10,1473,0
803,2/3/2005,11,1467,0
804,2/3/2005,12,1446,0
805,2/3/2005,13,1419,0
806,2/3/2005,14,1378,0
807,2/3/2005,15,1327,0
808,2/3/2005,16,1315,0
809,2/3/2005,17,1338,0
810,2/3/2005,18,1420,0
811,2/3/2005,19,1540,0
812,2/3/2005,20,1561,1
813,2/3/2005,21,1534,0
814,2/3/2005,22,1456,0
815,2/3/2005,23,1338,0
816,2/3/2005,24,1226,0
817,2/4/2005,1,1161,0
818,2/4/2005,2,1143,0
819,2/4/2005,3,1138,0
820,2/4/2005,4,1144,0
821,2/4/2005,5,1189,0
822,2/4/2005,6,1331,0
823,2/4/2005,7,1559,0
824,2/4/2005,8,1589,1
825,2/4/2005,9,1445,0
826,2/4/2005,10,1286,0
827,2/4/2005,11,1159,0
828,2/4/2005,12,1057,0
829,2/4/2005,13,980,0
830,2/4/2005,14,928,0
831,2/4/2005,15,883,0
832,2/4/2005,16,875,0
833,2/4/2005,17,906,0
834,2/4/2005,18,999,0
835,2/4/2005,19,1160,0
836,2/4/2005,20,1202,0
837,2/4/2005,21,1219,0
838,2/4/2005,22,1216,0
839,2/4/2005,23,1178,0
840,2/4/2005,24,1111,0
841,2/5/2005,1,1061,0
842,2/5/2005,2,1052,0
843,2/5/2005,3,1066,0
844,2/5/2005,4,1095,0
845,2/5/2005,5,1141,0
846,2/5/2005,6,1210,0
847,2/5/2005,7,1290,0
848,2/5/2005,8,1381,0
849,2/5/2005,9,1401,1
850,2/5/2005,10,1288,0
851,2/5/2005,11,1163,0
852,2/5/2005,12,1052,0
853,2/5/2005,13,961,0
854,2/5/2005,14,892,0
855,2/5/2005,15,846,0
856,2/5/2005,16,824,0
857,2/5/2005,17,830,0
858,2/5/2005,18,885,0
859,2/5/2005,19,1026,0
860,2/5/2005,20,1071,0
861,2/5/2005,21,1089,0
862,2/5/2005,22,1094,0
863,2/5/2005,23,1071,0
864,2/5/2005,24,1028,0
865,2/6/2005,1,996,0
866,2/6/2005,2,993,0
867,2/6/2005,3,1012,0
868,2/6/2005,4,1044,0
869,2/6/2005,5,1079,0
870,2/6/2005,6,1132,0
871,2/6/2005,7,1211,0
872,2/6/2005,8,1315,0
873,2/6/2005,9,1372,1
874,2/6/2005,10,1247,0
875,2/6/2005,11,1077,0
876,2/6/2005,12,972,0
877,2/6/2005,13,926,0
878,2/6/2005,14,883,0
879,2/6/2005,15,839,0
880,2/6/2005,16,831,0
881,2/6/2005,17,861,0
882,2/6/2005,18,936,0
883,2/6/2005,19,1059,0
884,2/6/2005,20,1085,0
885,2/6/2005,21,1111,0
886,2/6/2005,22,1101,0
887,2/6/2005,23,1062,0
888,2/6/2005,24,987,0
889,2/7/2005,1,920,0
890,2/7/2005,2,912,0
891,2/7/2005,3,931,0
892,2/7/2005,4,973,0
