"","Trend","Date","Hour","temp7","Z1","Peak","year","Month","week","HM"
"35109",35109,2009-01-02,21,62.9072778779935,NA,NA,2009,1,6,21
"35110",35110,2009-01-02,22,63.3577864460512,NA,NA,2009,1,6,22
"35111",35111,2009-01-02,23,63.8082950141088,NA,NA,2009,1,6,23
"35112",35112,2009-01-02,24,64.2588035821664,NA,NA,2009,1,6,24
"35113",35113,2009-01-03,1,53.8994607331811,NA,NA,2009,1,7,1
"35114",35114,2009-01-03,2,54.3499693012387,NA,NA,2009,1,7,2
"35115",35115,2009-01-03,3,54.8004778692964,NA,NA,2009,1,7,3
"35116",35116,2009-01-03,4,55.250986437354,NA,NA,2009,1,7,4
"35117",35117,2009-01-03,5,55.7014950054116,NA,NA,2009,1,7,5
"35118",35118,2009-01-03,6,56.1520035734693,NA,NA,2009,1,7,6
"35119",35119,2009-01-03,7,56.6025121415269,NA,NA,2009,1,7,7
"35120",35120,2009-01-03,8,57.0530207095845,NA,NA,2009,1,7,8
"35121",35121,2009-01-03,9,57.5035292776422,NA,NA,2009,1,7,9
"35122",35122,2009-01-03,10,57.9540378456998,NA,NA,2009,1,7,10
"35123",35123,2009-01-03,11,58.4045464137574,NA,NA,2009,1,7,11
"35124",35124,2009-01-03,12,58.855054981815,NA,NA,2009,1,7,12
"35125",35125,2009-01-03,13,59.3055635498727,NA,NA,2009,1,7,13
"35126",35126,2009-01-03,14,59.7560721179303,NA,NA,2009,1,7,14
"35127",35127,2009-01-03,15,60.2065806859879,NA,NA,2009,1,7,15
"35128",35128,2009-01-03,16,60.6570892540456,NA,NA,2009,1,7,16
"35129",35129,2009-01-03,17,61.1075978221032,NA,NA,2009,1,7,17
"35130",35130,2009-01-03,18,61.5581063901608,NA,NA,2009,1,7,18
"35131",35131,2009-01-03,19,62.0086149582184,NA,NA,2009,1,7,19
"35132",35132,2009-01-03,20,62.4591235262761,NA,NA,2009,1,7,20
"35133",35133,2009-01-03,21,62.9096320943337,NA,NA,2009,1,7,21
"35134",35134,2009-01-03,22,63.3601406623913,NA,NA,2009,1,7,22
"35135",35135,2009-01-03,23,63.810649230449,NA,NA,2009,1,7,23
"35136",35136,2009-01-03,24,64.2611577985066,NA,NA,2009,1,7,24
"35137",35137,2009-01-04,1,53.9018149495213,NA,NA,2009,1,1,1
"35138",35138,2009-01-04,2,54.3523235175789,NA,NA,2009,1,1,2
"35139",35139,2009-01-04,3,54.8028320856366,NA,NA,2009,1,1,3
"35140",35140,2009-01-04,4,55.2533406536942,NA,NA,2009,1,1,4
"35141",35141,2009-01-04,5,55.7038492217518,NA,NA,2009,1,1,5
"35142",35142,2009-01-04,6,56.1543577898095,NA,NA,2009,1,1,6
"35143",35143,2009-01-04,7,56.6048663578671,NA,NA,2009,1,1,7
"35144",35144,2009-01-04,8,57.0553749259247,NA,NA,2009,1,1,8
"35145",35145,2009-01-04,9,57.5058834939823,NA,NA,2009,1,1,9
"35146",35146,2009-01-04,10,57.95639206204,NA,NA,2009,1,1,10
"35147",35147,2009-01-04,11,58.4069006300976,NA,NA,2009,1,1,11
"35148",35148,2009-01-04,12,58.8574091981552,NA,NA,2009,1,1,12
"35149",35149,2009-01-04,13,59.3079177662129,NA,NA,2009,1,1,13
"35150",35150,2009-01-04,14,59.7584263342705,NA,NA,2009,1,1,14
"35151",35151,2009-01-04,15,60.2089349023281,NA,NA,2009,1,1,15
"35152",35152,2009-01-04,16,60.6594434703857,NA,NA,2009,1,1,16
"35153",35153,2009-01-04,17,61.1099520384434,NA,NA,2009,1,1,17
"35154",35154,2009-01-04,18,61.560460606501,NA,NA,2009,1,1,18
"35155",35155,2009-01-04,19,62.0109691745586,NA,NA,2009,1,1,19
"35156",35156,2009-01-04,20,62.4614777426163,NA,NA,2009,1,1,20
"35157",35157,2009-01-04,21,62.9119863106739,NA,NA,2009,1,1,21
"35158",35158,2009-01-04,22,63.3624948787315,NA,NA,2009,1,1,22
"35159",35159,2009-01-04,23,63.8130034467892,NA,NA,2009,1,1,23
"35160",35160,2009-01-04,24,64.2635120148468,NA,NA,2009,1,1,24
"35161",35161,2009-01-05,1,53.9041691658615,NA,NA,2009,1,2,1
"35162",35162,2009-01-05,2,54.3546777339191,NA,NA,2009,1,2,2
"35163",35163,2009-01-05,3,54.8051863019767,NA,NA,2009,1,2,3
"35164",35164,2009-01-05,4,55.2556948700344,NA,NA,2009,1,2,4
"35165",35165,2009-01-05,5,55.706203438092,NA,NA,2009,1,2,5
"35166",35166,2009-01-05,6,56.1567120061496,NA,NA,2009,1,2,6
"35167",35167,2009-01-05,7,56.6072205742073,NA,NA,2009,1,2,7
"35168",35168,2009-01-05,8,57.0577291422649,NA,NA,2009,1,2,8
"35169",35169,2009-01-05,9,57.5082377103225,NA,NA,2009,1,2,9
"35170",35170,2009-01-05,10,57.9587462783802,NA,NA,2009,1,2,10
"35171",35171,2009-01-05,11,58.4092548464378,NA,NA,2009,1,2,11
"35172",35172,2009-01-05,12,58.8597634144954,NA,NA,2009,1,2,12
"35173",35173,2009-01-05,13,59.310271982553,NA,NA,2009,1,2,13
"35174",35174,2009-01-05,14,59.7607805506107,NA,NA,2009,1,2,14
"35175",35175,2009-01-05,15,60.2112891186683,NA,NA,2009,1,2,15
"35176",35176,2009-01-05,16,60.6617976867259,NA,NA,2009,1,2,16
"35177",35177,2009-01-05,17,61.1123062547836,NA,NA,2009,1,2,17
"35178",35178,2009-01-05,18,61.5628148228412,NA,NA,2009,1,2,18
"35179",35179,2009-01-05,19,62.0133233908988,NA,NA,2009,1,2,19
"35180",35180,2009-01-05,20,62.4638319589565,NA,NA,2009,1,2,20
"35181",35181,2009-01-05,21,62.9143405270141,NA,NA,2009,1,2,21
"35182",35182,2009-01-05,22,63.3648490950717,NA,NA,2009,1,2,22
"35183",35183,2009-01-05,23,63.8153576631293,NA,NA,2009,1,2,23
"35184",35184,2009-01-05,24,64.265866231187,NA,NA,2009,1,2,24
"35185",35185,2009-01-06,1,53.9065233822017,NA,NA,2009,1,3,1
"35186",35186,2009-01-06,2,54.3570319502593,NA,NA,2009,1,3,2
"35187",35187,2009-01-06,3,54.8075405183169,NA,NA,2009,1,3,3
"35188",35188,2009-01-06,4,55.2580490863746,NA,NA,2009,1,3,4
"35189",35189,2009-01-06,5,55.7085576544322,NA,NA,2009,1,3,5
"35190",35190,2009-01-06,6,56.1590662224898,NA,NA,2009,1,3,6
"35191",35191,2009-01-06,7,56.6095747905475,NA,NA,2009,1,3,7
"35192",35192,2009-01-06,8,57.0600833586051,NA,NA,2009,1,3,8
"35193",35193,2009-01-06,9,57.5105919266627,NA,NA,2009,1,3,9
"35194",35194,2009-01-06,10,57.9611004947203,NA,NA,2009,1,3,10
"35195",35195,2009-01-06,11,58.411609062778,NA,NA,2009,1,3,11
"35196",35196,2009-01-06,12,58.8621176308356,NA,NA,2009,1,3,12
"35197",35197,2009-01-06,13,59.3126261988932,NA,NA,2009,1,3,13
"35198",35198,2009-01-06,14,59.7631347669509,NA,NA,2009,1,3,14
"35199",35199,2009-01-06,15,60.2136433350085,NA,NA,2009,1,3,15
"35200",35200,2009-01-06,16,60.6641519030661,NA,NA,2009,1,3,16
"35201",35201,2009-01-06,17,61.1146604711237,NA,NA,2009,1,3,17
"35202",35202,2009-01-06,18,61.5651690391814,NA,NA,2009,1,3,18
"35203",35203,2009-01-06,19,62.015677607239,NA,NA,2009,1,3,19
"35204",35204,2009-01-06,20,62.4661861752966,NA,NA,2009,1,3,20
"35205",35205,2009-01-06,21,62.9166947433543,NA,NA,2009,1,3,21
"35206",35206,2009-01-06,22,63.3672033114119,NA,NA,2009,1,3,22
"35207",35207,2009-01-06,23,63.8177118794695,NA,NA,2009,1,3,23
"35208",35208,2009-01-06,24,64.2682204475272,NA,NA,2009,1,3,24
"35209",35209,2009-01-07,1,53.9088775985419,NA,NA,2009,1,4,1
"35210",35210,2009-01-07,2,54.3593861665995,NA,NA,2009,1,4,2
"35211",35211,2009-01-07,3,54.8098947346571,NA,NA,2009,1,4,3
"35212",35212,2009-01-07,4,55.2604033027148,NA,NA,2009,1,4,4
"35213",35213,2009-01-07,5,55.7109118707724,NA,NA,2009,1,4,5
"35214",35214,2009-01-07,6,56.16142043883,NA,NA,2009,1,4,6
"35215",35215,2009-01-07,7,56.6119290068876,NA,NA,2009,1,4,7
"35216",35216,2009-01-07,8,57.0624375749453,NA,NA,2009,1,4,8
"35217",35217,2009-01-07,9,57.5129461430029,NA,NA,2009,1,4,9
"35218",35218,2009-01-07,10,57.9634547110605,NA,NA,2009,1,4,10
"35219",35219,2009-01-07,11,58.4139632791182,NA,NA,2009,1,4,11
"35220",35220,2009-01-07,12,58.8644718471758,NA,NA,2009,1,4,12
"35221",35221,2009-01-07,13,59.3149804152334,NA,NA,2009,1,4,13
"35222",35222,2009-01-07,14,59.765488983291,NA,NA,2009,1,4,14
"35223",35223,2009-01-07,15,60.2159975513487,NA,NA,2009,1,4,15
"35224",35224,2009-01-07,16,60.6665061194063,NA,NA,2009,1,4,16
"35225",35225,2009-01-07,17,61.1170146874639,NA,NA,2009,1,4,17
"35226",35226,2009-01-07,18,61.5675232555216,NA,NA,2009,1,4,18
"35227",35227,2009-01-07,19,62.0180318235792,NA,NA,2009,1,4,19
"35228",35228,2009-01-07,20,62.4685403916368,NA,NA,2009,1,4,20
"35229",35229,2009-01-07,21,62.9190489596945,NA,NA,2009,1,4,21
"35230",35230,2009-01-07,22,63.3695575277521,NA,NA,2009,1,4,22
"35231",35231,2009-01-07,23,63.8200660958097,NA,NA,2009,1,4,23
"35232",35232,2009-01-07,24,64.2705746638673,NA,NA,2009,1,4,24
"35233",35233,2009-01-08,1,53.9112318148821,NA,NA,2009,1,5,1
"35234",35234,2009-01-08,2,54.3617403829397,NA,NA,2009,1,5,2
"35235",35235,2009-01-08,3,54.8122489509973,NA,NA,2009,1,5,3
"35236",35236,2009-01-08,4,55.2627575190549,NA,NA,2009,1,5,4
"35237",35237,2009-01-08,5,55.7132660871126,NA,NA,2009,1,5,5
"35238",35238,2009-01-08,6,56.1637746551702,NA,NA,2009,1,5,6
"35239",35239,2009-01-08,7,56.6142832232278,NA,NA,2009,1,5,7
"35240",35240,2009-01-08,8,57.0647917912855,NA,NA,2009,1,5,8
"35241",35241,2009-01-08,9,57.5153003593431,NA,NA,2009,1,5,9
"35242",35242,2009-01-08,10,57.9658089274007,NA,NA,2009,1,5,10
"35243",35243,2009-01-08,11,58.4163174954584,NA,NA,2009,1,5,11
"35244",35244,2009-01-08,12,58.866826063516,NA,NA,2009,1,5,12
"35245",35245,2009-01-08,13,59.3173346315736,NA,NA,2009,1,5,13
"35246",35246,2009-01-08,14,59.7678431996312,NA,NA,2009,1,5,14
"35247",35247,2009-01-08,15,60.2183517676889,NA,NA,2009,1,5,15
"35248",35248,2009-01-08,16,60.6688603357465,NA,NA,2009,1,5,16
"35249",35249,2009-01-08,17,61.1193689038041,NA,NA,2009,1,5,17
"35250",35250,2009-01-08,18,61.5698774718618,NA,NA,2009,1,5,18
"35251",35251,2009-01-08,19,62.0203860399194,NA,NA,2009,1,5,19
"35252",35252,2009-01-08,20,62.470894607977,NA,NA,2009,1,5,20
"35253",35253,2009-01-08,21,62.9214031760346,NA,NA,2009,1,5,21
"35254",35254,2009-01-08,22,63.3719117440923,NA,NA,2009,1,5,22
"35255",35255,2009-01-08,23,63.8224203121499,NA,NA,2009,1,5,23
"35256",35256,2009-01-08,24,64.2729288802075,NA,NA,2009,1,5,24
"35257",35257,2009-01-09,1,53.9135860312222,NA,NA,2009,1,6,1
"35258",35258,2009-01-09,2,54.3640945992799,NA,NA,2009,1,6,2
"35259",35259,2009-01-09,3,54.8146031673375,NA,NA,2009,1,6,3
"35260",35260,2009-01-09,4,55.2651117353951,NA,NA,2009,1,6,4
"35261",35261,2009-01-09,5,55.7156203034528,NA,NA,2009,1,6,5
"35262",35262,2009-01-09,6,56.1661288715104,NA,NA,2009,1,6,6
"35263",35263,2009-01-09,7,56.616637439568,NA,NA,2009,1,6,7
"35264",35264,2009-01-09,8,57.0671460076257,NA,NA,2009,1,6,8
"35265",35265,2009-01-09,9,57.5176545756833,NA,NA,2009,1,6,9
"35266",35266,2009-01-09,10,57.9681631437409,NA,NA,2009,1,6,10
"35267",35267,2009-01-09,11,58.4186717117985,NA,NA,2009,1,6,11
"35268",35268,2009-01-09,12,58.8691802798562,NA,NA,2009,1,6,12
"35269",35269,2009-01-09,13,59.3196888479138,NA,NA,2009,1,6,13
"35270",35270,2009-01-09,14,59.7701974159714,NA,NA,2009,1,6,14
"35271",35271,2009-01-09,15,60.2207059840291,NA,NA,2009,1,6,15
"35272",35272,2009-01-09,16,60.6712145520867,NA,NA,2009,1,6,16
"35273",35273,2009-01-09,17,61.1217231201443,NA,NA,2009,1,6,17
"35274",35274,2009-01-09,18,61.5722316882019,NA,NA,2009,1,6,18
"35275",35275,2009-01-09,19,62.0227402562596,NA,NA,2009,1,6,19
"35276",35276,2009-01-09,20,62.4732488243172,NA,NA,2009,1,6,20
"35277",35277,2009-01-09,21,62.9237573923748,NA,NA,2009,1,6,21
"35278",35278,2009-01-09,22,63.3742659604325,NA,NA,2009,1,6,22
"35279",35279,2009-01-09,23,63.8247745284901,NA,NA,2009,1,6,23
"35280",35280,2009-01-09,24,64.2752830965477,NA,NA,2009,1,6,24
"35281",35281,2009-01-10,1,53.9159402475624,NA,NA,2009,1,7,1
"35282",35282,2009-01-10,2,54.3664488156201,NA,NA,2009,1,7,2
"35283",35283,2009-01-10,3,54.8169573836777,NA,NA,2009,1,7,3
"35284",35284,2009-01-10,4,55.2674659517353,NA,NA,2009,1,7,4
"35285",35285,2009-01-10,5,55.7179745197929,NA,NA,2009,1,7,5
"35286",35286,2009-01-10,6,56.1684830878506,NA,NA,2009,1,7,6
"35287",35287,2009-01-10,7,56.6189916559082,NA,NA,2009,1,7,7
"35288",35288,2009-01-10,8,57.0695002239658,NA,NA,2009,1,7,8
"35289",35289,2009-01-10,9,57.5200087920235,NA,NA,2009,1,7,9
"35290",35290,2009-01-10,10,57.9705173600811,NA,NA,2009,1,7,10
"35291",35291,2009-01-10,11,58.4210259281387,NA,NA,2009,1,7,11
"35292",35292,2009-01-10,12,58.8715344961964,NA,NA,2009,1,7,12
"35293",35293,2009-01-10,13,59.322043064254,NA,NA,2009,1,7,13
"35294",35294,2009-01-10,14,59.7725516323116,NA,NA,2009,1,7,14
"35295",35295,2009-01-10,15,60.2230602003692,NA,NA,2009,1,7,15
"35296",35296,2009-01-10,16,60.6735687684269,NA,NA,2009,1,7,16
"35297",35297,2009-01-10,17,61.1240773364845,NA,NA,2009,1,7,17
"35298",35298,2009-01-10,18,61.5745859045421,NA,NA,2009,1,7,18
"35299",35299,2009-01-10,19,62.0250944725998,NA,NA,2009,1,7,19
"35300",35300,2009-01-10,20,62.4756030406574,NA,NA,2009,1,7,20
"35301",35301,2009-01-10,21,62.926111608715,NA,NA,2009,1,7,21
"35302",35302,2009-01-10,22,63.3766201767727,NA,NA,2009,1,7,22
"35303",35303,2009-01-10,23,63.8271287448303,NA,NA,2009,1,7,23
"35304",35304,2009-01-10,24,64.2776373128879,NA,NA,2009,1,7,24
"35305",35305,2009-01-11,1,53.9182944639026,NA,NA,2009,1,1,1
"35306",35306,2009-01-11,2,54.3688030319602,NA,NA,2009,1,1,2
"35307",35307,2009-01-11,3,54.8193116000179,NA,NA,2009,1,1,3
"35308",35308,2009-01-11,4,55.2698201680755,NA,NA,2009,1,1,4
"35309",35309,2009-01-11,5,55.7203287361331,NA,NA,2009,1,1,5
"35310",35310,2009-01-11,6,56.1708373041908,NA,NA,2009,1,1,6
"35311",35311,2009-01-11,7,56.6213458722484,NA,NA,2009,1,1,7
"35312",35312,2009-01-11,8,57.071854440306,NA,NA,2009,1,1,8
"35313",35313,2009-01-11,9,57.5223630083637,NA,NA,2009,1,1,9
"35314",35314,2009-01-11,10,57.9728715764213,NA,NA,2009,1,1,10
"35315",35315,2009-01-11,11,58.4233801444789,NA,NA,2009,1,1,11
"35316",35316,2009-01-11,12,58.8738887125365,NA,NA,2009,1,1,12
"35317",35317,2009-01-11,13,59.3243972805942,NA,NA,2009,1,1,13
"35318",35318,2009-01-11,14,59.7749058486518,NA,NA,2009,1,1,14
"35319",35319,2009-01-11,15,60.2254144167094,NA,NA,2009,1,1,15
"35320",35320,2009-01-11,16,60.6759229847671,NA,NA,2009,1,1,16
"35321",35321,2009-01-11,17,61.1264315528247,NA,NA,2009,1,1,17
"35322",35322,2009-01-11,18,61.5769401208823,NA,NA,2009,1,1,18
"35323",35323,2009-01-11,19,62.0274486889399,NA,NA,2009,1,1,19
"35324",35324,2009-01-11,20,62.4779572569976,NA,NA,2009,1,1,20
"35325",35325,2009-01-11,21,62.9284658250552,NA,NA,2009,1,1,21
"35326",35326,2009-01-11,22,63.3789743931128,NA,NA,2009,1,1,22
"35327",35327,2009-01-11,23,63.8294829611705,NA,NA,2009,1,1,23
"35328",35328,2009-01-11,24,64.2799915292281,NA,NA,2009,1,1,24
"35329",35329,2009-01-12,1,53.9206486802428,NA,NA,2009,1,2,1
"35330",35330,2009-01-12,2,54.3711572483004,NA,NA,2009,1,2,2
"35331",35331,2009-01-12,3,54.8216658163581,NA,NA,2009,1,2,3
"35332",35332,2009-01-12,4,55.2721743844157,NA,NA,2009,1,2,4
"35333",35333,2009-01-12,5,55.7226829524733,NA,NA,2009,1,2,5
"35334",35334,2009-01-12,6,56.173191520531,NA,NA,2009,1,2,6
"35335",35335,2009-01-12,7,56.6237000885886,NA,NA,2009,1,2,7
"35336",35336,2009-01-12,8,57.0742086566462,NA,NA,2009,1,2,8
"35337",35337,2009-01-12,9,57.5247172247038,NA,NA,2009,1,2,9
"35338",35338,2009-01-12,10,57.9752257927615,NA,NA,2009,1,2,10
"35339",35339,2009-01-12,11,58.4257343608191,NA,NA,2009,1,2,11
"35340",35340,2009-01-12,12,58.8762429288767,NA,NA,2009,1,2,12
"35341",35341,2009-01-12,13,59.3267514969344,NA,NA,2009,1,2,13
"35342",35342,2009-01-12,14,59.777260064992,NA,NA,2009,1,2,14
"35343",35343,2009-01-12,15,60.2277686330496,NA,NA,2009,1,2,15
"35344",35344,2009-01-12,16,60.6782772011072,NA,NA,2009,1,2,16
"35345",35345,2009-01-12,17,61.1287857691649,NA,NA,2009,1,2,17
"35346",35346,2009-01-12,18,61.5792943372225,NA,NA,2009,1,2,18
"35347",35347,2009-01-12,19,62.0298029052801,NA,NA,2009,1,2,19
"35348",35348,2009-01-12,20,62.4803114733378,NA,NA,2009,1,2,20
"35349",35349,2009-01-12,21,62.9308200413954,NA,NA,2009,1,2,21
"35350",35350,2009-01-12,22,63.381328609453,NA,NA,2009,1,2,22
"35351",35351,2009-01-12,23,63.8318371775107,NA,NA,2009,1,2,23
"35352",35352,2009-01-12,24,64.2823457455683,NA,NA,2009,1,2,24
"35353",35353,2009-01-13,1,53.923002896583,NA,NA,2009,1,3,1
"35354",35354,2009-01-13,2,54.3735114646406,NA,NA,2009,1,3,2
"35355",35355,2009-01-13,3,54.8240200326983,NA,NA,2009,1,3,3
"35356",35356,2009-01-13,4,55.2745286007559,NA,NA,2009,1,3,4
"35357",35357,2009-01-13,5,55.7250371688135,NA,NA,2009,1,3,5
"35358",35358,2009-01-13,6,56.1755457368711,NA,NA,2009,1,3,6
"35359",35359,2009-01-13,7,56.6260543049288,NA,NA,2009,1,3,7
"35360",35360,2009-01-13,8,57.0765628729864,NA,NA,2009,1,3,8
"35361",35361,2009-01-13,9,57.527071441044,NA,NA,2009,1,3,9
"35362",35362,2009-01-13,10,57.9775800091017,NA,NA,2009,1,3,10
"35363",35363,2009-01-13,11,58.4280885771593,NA,NA,2009,1,3,11
"35364",35364,2009-01-13,12,58.8785971452169,NA,NA,2009,1,3,12
"35365",35365,2009-01-13,13,59.3291057132746,NA,NA,2009,1,3,13
"35366",35366,2009-01-13,14,59.7796142813322,NA,NA,2009,1,3,14
"35367",35367,2009-01-13,15,60.2301228493898,NA,NA,2009,1,3,15
"35368",35368,2009-01-13,16,60.6806314174474,NA,NA,2009,1,3,16
"35369",35369,2009-01-13,17,61.1311399855051,NA,NA,2009,1,3,17
"35370",35370,2009-01-13,18,61.5816485535627,NA,NA,2009,1,3,18
"35371",35371,2009-01-13,19,62.0321571216203,NA,NA,2009,1,3,19
"35372",35372,2009-01-13,20,62.482665689678,NA,NA,2009,1,3,20
"35373",35373,2009-01-13,21,62.9331742577356,NA,NA,2009,1,3,21
"35374",35374,2009-01-13,22,63.3836828257932,NA,NA,2009,1,3,22
"35375",35375,2009-01-13,23,63.8341913938508,NA,NA,2009,1,3,23
"35376",35376,2009-01-13,24,64.2846999619085,NA,NA,2009,1,3,24
"35377",35377,2009-01-14,1,53.9253571129232,NA,NA,2009,1,4,1
"35378",35378,2009-01-14,2,54.3758656809808,NA,NA,2009,1,4,2
"35379",35379,2009-01-14,3,54.8263742490384,NA,NA,2009,1,4,3
"35380",35380,2009-01-14,4,55.2768828170961,NA,NA,2009,1,4,4
"35381",35381,2009-01-14,5,55.7273913851537,NA,NA,2009,1,4,5
"35382",35382,2009-01-14,6,56.1778999532113,NA,NA,2009,1,4,6
"35383",35383,2009-01-14,7,56.628408521269,NA,NA,2009,1,4,7
"35384",35384,2009-01-14,8,57.0789170893266,NA,NA,2009,1,4,8
"35385",35385,2009-01-14,9,57.5294256573842,NA,NA,2009,1,4,9
"35386",35386,2009-01-14,10,57.9799342254419,NA,NA,2009,1,4,10
"35387",35387,2009-01-14,11,58.4304427934995,NA,NA,2009,1,4,11
"35388",35388,2009-01-14,12,58.8809513615571,NA,NA,2009,1,4,12
"35389",35389,2009-01-14,13,59.3314599296147,NA,NA,2009,1,4,13
"35390",35390,2009-01-14,14,59.7819684976724,NA,NA,2009,1,4,14
"35391",35391,2009-01-14,15,60.23247706573,NA,NA,2009,1,4,15
"35392",35392,2009-01-14,16,60.6829856337876,NA,NA,2009,1,4,16
"35393",35393,2009-01-14,17,61.1334942018453,NA,NA,2009,1,4,17
"35394",35394,2009-01-14,18,61.5840027699029,NA,NA,2009,1,4,18
"35395",35395,2009-01-14,19,62.0345113379605,NA,NA,2009,1,4,19
"35396",35396,2009-01-14,20,62.4850199060181,NA,NA,2009,1,4,20
"35397",35397,2009-01-14,21,62.9355284740758,NA,NA,2009,1,4,21
"35398",35398,2009-01-14,22,63.3860370421334,NA,NA,2009,1,4,22
"35399",35399,2009-01-14,23,63.836545610191,NA,NA,2009,1,4,23
"35400",35400,2009-01-14,24,64.2870541782487,NA,NA,2009,1,4,24
"35401",35401,2009-01-15,1,53.9277113292634,NA,NA,2009,1,5,1
"35402",35402,2009-01-15,2,54.378219897321,NA,NA,2009,1,5,2
"35403",35403,2009-01-15,3,54.8287284653786,NA,NA,2009,1,5,3
"35404",35404,2009-01-15,4,55.2792370334363,NA,NA,2009,1,5,4
"35405",35405,2009-01-15,5,55.7297456014939,NA,NA,2009,1,5,5
"35406",35406,2009-01-15,6,56.1802541695515,NA,NA,2009,1,5,6
"35407",35407,2009-01-15,7,56.6307627376091,NA,NA,2009,1,5,7
"35408",35408,2009-01-15,8,57.0812713056668,NA,NA,2009,1,5,8
"35409",35409,2009-01-15,9,57.5317798737244,NA,NA,2009,1,5,9
"35410",35410,2009-01-15,10,57.982288441782,NA,NA,2009,1,5,10
"35411",35411,2009-01-15,11,58.4327970098397,NA,NA,2009,1,5,11
"35412",35412,2009-01-15,12,58.8833055778973,NA,NA,2009,1,5,12
"35413",35413,2009-01-15,13,59.3338141459549,NA,NA,2009,1,5,13
"35414",35414,2009-01-15,14,59.7843227140126,NA,NA,2009,1,5,14
"35415",35415,2009-01-15,15,60.2348312820702,NA,NA,2009,1,5,15
"35416",35416,2009-01-15,16,60.6853398501278,NA,NA,2009,1,5,16
"35417",35417,2009-01-15,17,61.1358484181854,NA,NA,2009,1,5,17
"35418",35418,2009-01-15,18,61.5863569862431,NA,NA,2009,1,5,18
"35419",35419,2009-01-15,19,62.0368655543007,NA,NA,2009,1,5,19
"35420",35420,2009-01-15,20,62.4873741223583,NA,NA,2009,1,5,20
"35421",35421,2009-01-15,21,62.937882690416,NA,NA,2009,1,5,21
"35422",35422,2009-01-15,22,63.3883912584736,NA,NA,2009,1,5,22
