"","Trend","Date","Hour","temp7","Z1","Peak","year","Month","week","HM","T2","T3","TH","T2H","T3H","TM","T2M","T3M"
"35094",35094,2009-01-02,6,56.14964936,805.358996534979,NA,2009,1,6,6,3152.78312325095,177027.666878666,336.89789616,18916.6987395057,1062166.001272,56.14964936,3152.78312325095,177027.666878666
"35095",35095,2009-01-02,7,56.60015793,813.930871546356,NA,2009,1,6,7,3203.57787770094,181323.013818928,396.20110551,22425.0451439066,1269261.09673249,56.60015793,3203.57787770094,181323.013818928
"35096",35096,2009-01-02,8,57.05066649,822.854314907553,NA,2009,1,6,8,3254.77854695321,185687.285381034,456.40533192,26038.2283756257,1485498.28304827,57.05066649,3254.77854695321,185687.285381034
"35097",35097,2009-01-02,9,57.50117506,832.144561543549,NA,2009,1,6,9,3306.38513328077,190121.030364559,517.51057554,29757.4661995269,1711089.27328103,57.50117506,3306.38513328077,190121.030364559
"35098",35098,2009-01-02,10,57.95168363,841.817351175735,NA,2009,1,6,10,3358.39763555161,194624.797279227,579.5168363,33583.9763555161,1946247.97279227,57.95168363,3358.39763555161,194624.797279227
"35099",35099,2009-01-02,11,58.4021922,851.888927974648,NA,2009,1,6,11,3410.81605376574,199199.134730872,642.4241142,37518.9765914231,2191190.4820396,58.4021922,3410.81605376574,199199.134730872
"35100",35100,2009-01-02,12,58.85270077,862.376040648464,NA,2009,1,6,12,3463.64038792316,203844.591325328,706.23240924,41563.6846550779,2446135.09590394,58.85270077,3463.64038792316,203844.591325328
"35101",35101,2009-01-02,13,59.30320933,873.295942486092,NA,2009,1,6,13,3516.8706368378,208561.715562922,770.94172129,45719.3182788914,2711302.30231799,59.30320933,3516.8706368378,208561.715562922
"35102",35102,2009-01-02,14,59.7537179,884.666391176258,NA,2009,1,6,14,3570.50680287278,213351.056258891,836.5520506,49987.0952402189,2986914.78762447,59.7537179,3570.50680287278,213351.056258891
"35103",35103,2009-01-02,15,60.20422647,896.505649091367,NA,2009,1,6,15,3624.54888485105,218213.161915159,903.06339705,54368.2332727657,3273197.42872738,60.20422647,3624.54888485105,218213.161915159
"35104",35104,2009-01-02,16,60.65473504,908.832483090126,NA,2009,1,6,16,3678.9968827726,223148.581137558,970.47576064,58863.9501243617,3570377.29820093,60.65473504,3678.9968827726,223148.581137558
"35105",35105,2009-01-02,17,61.10524361,921.666164568877,NA,2009,1,6,17,3733.85079663745,228157.862531924,1038.78914137,63475.4635428366,3878683.6630427,61.10524361,3733.85079663745,228157.862531924
"35106",35106,2009-01-02,18,61.55575217,935.026469459117,NA,2009,1,6,18,3789.11062521446,233241.554590415,1108.00353906,68203.9912538603,4198347.98262747,61.55575217,3789.11062521446,233241.554590415
"35107",35107,2009-01-02,19,62.00626074,948.933678227366,NA,2009,1,6,19,3844.77637095687,238400.206144542,1178.11895406,73050.7510481804,4529603.91674631,62.00626074,3844.77637095687,238400.206144542
"35108",35108,2009-01-02,20,62.45676931,963.408575890118,NA,2009,1,6,20,3900.84803264256,243634.365688124,1249.1353862,78016.9606528512,4872687.31376247,62.45676931,3900.84803264256,243634.365688124
"35109",35109,2009-01-02,21,62.90727788,978.472451994253,NA,2009,1,6,21,3957.32561027154,248944.581826992,1321.05283548,83103.8378157023,5227836.21836684,62.90727788,3957.32561027154,248944.581826992
"35110",35110,2009-01-02,22,63.35778645,994.147100624285,NA,2009,1,6,22,4014.2091038438,254331.403166982,1393.8713019,88312.6002845637,5595290.86967359,63.35778645,4014.2091038438,254331.403166982
"35111",35111,2009-01-02,23,63.80829501,1010.45482034611,NA,2009,1,6,23,4071.49851208319,259795.37819178,1467.59078523,93644.4657779134,5975293.69841095,63.80829501,4071.49851208319,259795.37819178
"35112",35112,2009-01-02,24,64.25880358,1027.41841442019,NA,2009,1,6,24,4129.19383753302,265337.055749781,1542.21128592,99100.6521007925,6368089.33799474,64.25880358,4129.19383753302,265337.055749781
"35113",35113,2009-01-03,1,53.89946073,767.449196615345,NA,2009,1,7,1,2905.15186698481,156586.118969234,53.89946073,2905.15186698481,156586.118969234,53.89946073,2905.15186698481,156586.118969234
"35114",35114,2009-01-03,2,54.3499693,774.4754269718,NA,2009,1,7,2,2953.91916291094,160545.415818891,108.6999386,5907.83832582188,321090.831637783,54.3499693,2953.91916291094,160545.415818891
"35115",35115,2009-01-03,3,54.80047787,781.784663588969,NA,2009,1,7,3,3003.09237478036,164570.897225717,164.40143361,9009.27712434108,493712.691677151,54.80047787,3003.09237478036,164570.897225717
"35116",35116,2009-01-03,4,55.25098644,789.389620851366,NA,2009,1,7,4,3052.67150259306,168663.111795544,221.00394576,12210.6860103723,674652.447182175,55.25098644,3052.67150259306,168663.111795544
"35117",35117,2009-01-03,5,55.70149501,797.303517681142,NA,2009,1,7,5,3102.65654634906,172822.608134206,278.50747505,15513.2827317453,864113.040671029,55.70149501,3102.65654634906,172822.608134206
"35118",35118,2009-01-03,6,56.15200357,805.540077633237,NA,2009,1,7,6,3153.04750492529,177049.934752945,336.91202142,18918.2850295518,1062299.60851767,56.15200357,3153.04750492529,177049.934752945
"35119",35119,2009-01-03,7,56.60251214,814.113528508074,NA,2009,1,7,7,3203.84438055885,181345.640445253,396.21758498,22426.9106639119,1269419.48311677,56.60251214,3203.84438055885,181345.640445253
"35120",35120,2009-01-03,8,57.05302071,823.038602942321,NA,2009,1,7,8,3255.04717213569,185710.273723884,456.42416568,26040.3773770855,1485682.18979107,57.05302071,3255.04717213569,185710.273723884
"35121",35121,2009-01-03,9,57.50352928,832.330538008665,NA,2009,1,7,9,3306.65587965582,190144.383194672,517.53176352,29759.9029169024,1711299.44875205,57.50352928,3306.65587965582,190144.383194672
"35122",35122,2009-01-03,10,57.95403785,842.005075317428,NA,2009,1,7,10,3358.67050311923,194648.517463451,579.5403785,33586.7050311923,1946485.17463451,57.95403785,3358.67050311923,194648.517463451
"35123",35123,2009-01-03,11,58.40454641,852.078461075815,NA,2009,1,7,11,3411.09104135784,199223.225033719,642.45001051,37522.0014549363,2191455.47537091,58.40454641,3411.09104135784,199223.225033719
"35124",35124,2009-01-03,12,58.85505498,862.567445842968,NA,2009,1,7,12,3463.91749669882,203869.054714393,706.26065976,41567.0099603859,2446428.65657272,58.85505498,3463.91749669882,203869.054714393
"35125",35125,2009-01-03,13,59.30556355,873.489284909039,NA,2009,1,7,13,3517.14986798309,208586.555010545,770.97232615,45722.9482837802,2711625.21513709,59.30556355,3517.14986798309,208586.555010545
"35126",35126,2009-01-03,14,59.75607212,884.861738034887,NA,2009,1,7,14,3570.78815521064,213376.274528009,836.58500968,49991.034172949,2987267.84339212,59.75607212,3570.78815521064,213376.274528009
"35127",35127,2009-01-03,15,60.20658069,896.703069519001,NA,2009,1,7,15,3624.83235838148,218238.761872618,903.09871035,54372.4853757222,3273581.42808926,60.20658069,3624.83235838148,218238.761872618
"35128",35128,2009-01-03,16,60.65708925,909.032048214145,NA,2009,1,7,16,3679.28247628247,223174.565539826,970.513428,58868.5196205194,3570793.04863722,60.65708925,3679.28247628247,223174.565539826
"35129",35129,2009-01-03,17,61.10759782,921.86794745139,NA,2009,1,7,17,3734.13851133087,228184.23435458,1038.82916294,63480.3546926248,3879131.98402786,61.10759782,3734.13851133087,228184.23435458
"35130",35130,2009-01-03,18,61.55810639,935.230545167876,NA,2009,1,7,18,3789.40046232256,233268.316813967,1108.04591502,68209.2083218061,4198829.70265141,61.55810639,3789.40046232256,233268.316813967
"35131",35131,2009-01-03,19,62.00861496,949.140123812624,NA,2009,1,7,19,3845.06832925754,238427.361523821,1178.16368424,73056.2982558932,4530119.8689526,62.00861496,3845.06832925754,238427.361523821
"35132",35132,2009-01-03,20,62.45912353,963.6174703723,NA,2009,1,7,20,3901.1421121358,243661.917089975,1249.1824706,78022.842242716,4873238.3417995,62.45912353,3901.1421121358,243661.917089975
"35133",35133,2009-01-03,21,62.90963209,978.683876337458,NA,2009,1,7,21,3957.62180969916,248972.531999534,1321.10227389,83110.0580036823,5228423.17199021,62.90963209,3957.62180969916,248972.531999534
"35134",35134,2009-01-03,22,63.36014066,994.361137826419,NA,2009,1,7,22,4014.50742445499,254359.755094082,1393.92309452,88319.1633380097,5595914.61206981,63.36014066,4014.50742445499,254359.755094082
"35135",35135,2009-01-03,23,63.81064923,1010.67155541575,NA,2009,1,7,23,4071.7989551541,259824.134862419,1467.64493229,93651.3759685443,5975955.10183563,63.81064923,4071.7989551541,259824.134862419
"35136",35136,2009-01-03,24,64.2611578,1027.63793424264,NA,2009,1,7,24,4129.4964017965,265366.219910377,1542.2677872,99107.913643116,6368789.27784905,64.2611578,4129.4964017965,265366.219910377
"35137",35137,2009-01-04,1,53.90181495,766.455109650874,NA,2009,1,1,1,2905.40565490404,156606.637965321,53.90181495,2905.40565490404,156606.637965321,53.90181495,2905.40565490404,156606.637965321
"35138",35138,2009-01-04,2,54.35232352,773.482669212648,NA,2009,1,1,2,2954.17507202275,160566.2792493,108.70464704,5908.35014404549,321132.558498599,54.35232352,2954.17507202275,160566.2792493
"35139",35139,2009-01-04,3,54.80283209,780.793280446316,NA,2009,1,1,3,3003.35040508473,164592.107957292,164.40849627,9010.0512152542,493776.323871877,54.80283209,3003.35040508473,164592.107957292
"35140",35140,2009-01-04,4,55.25334065,788.399659821653,NA,2009,1,1,4,3052.93165298494,168684.672603545,221.0133626,12211.7266119398,674738.690414178,55.25334065,3052.93165298494,168684.672603545
"35141",35141,2009-01-04,5,55.70384922,796.315028016296,NA,2009,1,1,5,3102.91881792449,172844.521975567,278.5192461,15514.5940896225,864222.609877833,55.70384922,3102.91881792449,172844.521975567
"35142",35142,2009-01-04,6,56.15435779,804.553110581325,NA,2009,1,1,6,3153.31189880733,177072.204589091,336.92614674,18919.871392844,1062433.22753455,56.15435779,3153.31189880733,177072.204589091
"35143",35143,2009-01-04,7,56.60486636,813.128137491574,NA,2009,1,1,7,3204.11089563346,181368.269049952,396.23406452,22428.7762694342,1269577.88334966,56.60486636,3204.11089563346,181368.269049952
"35144",35144,2009-01-04,8,57.05537493,822.054843259511,NA,2009,1,1,8,3255.31580840287,185733.263963982,456.44299944,26042.526467223,1485866.11171186,57.05537493,3255.31580840287,185733.263963982
"35145",35145,2009-01-04,9,57.50588349,831.348467009568,NA,2009,1,1,9,3306.92663596545,190167.737837807,517.55295141,29762.3397236891,1711509.64054026,57.50588349,3306.92663596545,190167.737837807
"35146",35146,2009-01-04,10,57.95639206,841.024752173409,NA,2009,1,1,10,3358.94338061243,194672.239474116,579.5639206,33589.4338061243,1946722.39474116,57.95639206,3358.94338061243,194672.239474116
"35147",35147,2009-01-04,11,58.40690063,851.099946957901,NA,2009,1,1,11,3411.36604120269,199247.317381082,642.47590693,37525.0264532296,2191720.4911919,58.40690063,3411.36604120269,199247.317381082
"35148",35148,2009-01-04,12,58.8574092,861.590804026047,NA,2009,1,1,12,3464.19461773624,203893.52016454,706.2889104,41570.3354128349,2446722.24197448,58.8574092,3464.19461773624,203893.52016454
"35149",35149,2009-01-04,13,59.30791777,872.514580578488,NA,2009,1,1,13,3517.42911021308,208611.396430322,771.00293101,45726.5784327701,2711948.15359418,59.30791777,3517.42911021308,208611.396430322
"35150",35150,2009-01-04,14,59.75842633,883.889038388016,NA,2009,1,1,14,3571.06951743804,213401.49467713,836.61796862,49994.9732441325,2987620.92547981,59.75842633,3571.06951743804,213401.49467713
"35151",35151,2009-01-04,15,60.2089349,895.732443652699,NA,2009,1,1,15,3625.11584179244,218264.36372344,903.1340235,54376.7376268866,3273965.45585159,60.2089349,3625.11584179244,218264.36372344
"35152",35152,2009-01-04,16,60.65944347,908.063567229107,NA,2009,1,1,16,3679.56808209013,223200.552069562,970.55109552,58873.089313442,3571208.833113,60.65944347,3679.56808209013,223200.552069562
"35153",35153,2009-01-04,17,61.10995204,920.901684468416,NA,2009,1,1,17,3734.4262383311,228210.608321331,1038.86918468,63485.2460516287,3879580.34146263,61.10995204,3734.4262383311,228210.608321331
"35154",35154,2009-01-04,18,61.56046061,934.266575259437,NA,2009,1,1,18,3789.69031051536,233295.08108458,1108.08829098,68214.4255892765,4199311.45952243,61.56046061,3789.69031051536,233295.08108458
"35155",35155,2009-01-04,19,62.01096917,948.17852401598,NA,2009,1,1,19,3845.36029740269,238454.51884978,1178.20841423,73061.8456506511,4530635.85814583,62.01096917,3845.36029740269,238454.51884978
"35156",35156,2009-01-04,20,62.46147774,962.65831971699,NA,2009,1,1,20,3901.43620146452,243689.470451806,1249.2295548,78028.7240292903,4873789.40903612,62.46147774,3901.43620146452,243689.470451806
"35157",35157,2009-01-04,21,62.91198631,977.727255861613,NA,2009,1,1,21,3957.91802146963,249000.4843828,1321.15171251,83116.2784508622,5229010.17203879,62.91198631,3957.91802146963,249000.4843828
"35158",35158,2009-01-04,22,63.36249488,993.407130489194,NA,2009,1,1,22,4014.80575741803,254388.109248594,1393.97488736,88325.7266631966,5596538.40346907,63.36249488,4014.80575741803,254388.109248594
"35159",35159,2009-01-04,23,63.81300345,1009.72024617671,NA,2009,1,1,23,4072.09940930971,259852.893655024,1467.69907935,93658.2864141234,5976616.55406554,63.81300345,4072.09940930971,259852.893655024
"35160",35160,2009-01-04,24,64.26351201,1026.68940997061,NA,2009,1,1,24,4129.79897585941,265395.386084027,1542.32428824,99115.1754206259,6369489.26601665,64.26351201,4129.79897585941,265395.386084027
"35161",35161,2009-01-05,1,53.90416917,766.629083998965,NA,2009,1,2,1,2905.65945390798,156627.158753866,53.90416917,2905.65945390798,156627.158753866,53.90416917,2905.65945390798,156627.158753866
"35162",35162,2009-01-05,2,54.35467773,773.657973016586,NA,2009,1,2,2,2954.43099113216,160587.144398513,108.70935546,5908.86198226432,321174.288797026,54.35467773,2954.43099113216,160587.144398513
"35163",35163,2009-01-05,3,54.8051863,780.969958998635,NA,2009,1,2,3,3003.60844537771,164613.320421179,164.4155589,9010.82533613312,493839.961263536,54.8051863,3003.60844537771,164613.320421179
"35164",35164,2009-01-05,4,55.25569487,788.577760409799,NA,2009,1,2,4,3053.19181556654,168706.235340526,221.02277948,12212.7672622662,674824.941362105,55.25569487,3053.19181556654,168706.235340526
"35165",35165,2009-01-05,5,55.70620344,796.494600127058,NA,2009,1,2,5,3103.18110169867,172866.437762389,278.5310172,15515.9055084933,864332.188811947,55.70620344,3103.18110169867,172866.437762389
"35166",35166,2009-01-05,6,56.15671201,804.734205565031,NA,2009,1,2,6,3153.57630377408,177094.476292601,336.94027206,18921.4578226445,1062566.85775561,56.15671201,3153.57630377408,177094.476292601
"35167",35167,2009-01-05,7,56.60722057,813.31080876437,NA,2009,1,2,7,3204.37742066063,181390.899440864,396.25054399,22430.6419446244,1269736.29608605,56.60722057,3204.37742066063,181390.899440864
"35168",35168,2009-01-05,8,57.05772914,822.239146031233,NA,2009,1,2,8,3255.5844546136,185756.256003738,456.46183312,26044.6756369088,1486050.0480299,57.05772914,3255.5844546136,185756.256003738
"35169",35169,2009-01-05,9,57.50823771,831.534458488233,NA,2009,1,2,9,3307.19740450987,190191.094492448,517.57413939,29764.7766405888,1711719.85043204,57.50823771,3307.19740450987,190191.094492448
"35170",35170,2009-01-05,10,57.95874628,841.212491700521,NA,2009,1,2,10,3359.21627034941,194695.96351283,579.5874628,33592.1627034941,1946959.6351283,57.95874628,3359.21627034941,194695.96351283
"35171",35171,2009-01-05,11,58.40925485,851.289495770885,NA,2009,1,2,11,3411.64105213225,199271.411670715,642.50180335,37528.0515734547,2191985.52837786,58.40925485,3411.64105213225,199271.411670715
"35172",35172,2009-01-05,12,58.85976341,861.782225390976,NA,2009,1,2,12,3464.47174868117,203917.987468003,706.31716092,41573.6609841741,2447015.84961603,58.85976341,3464.47174868117,203917.987468003
"35173",35173,2009-01-05,13,59.31027198,872.707939628167,NA,2009,1,2,13,3517.70836234157,208636.239716799,771.03353574,45730.2087104405,2712271.11631839,59.31027198,3517.70836234157,208636.239716799
"35174",35174,2009-01-05,14,59.76078055,884.084402257325,NA,2009,1,2,14,3571.35089194526,213426.716920587,836.6509277,49998.9124872336,2987974.03688822,59.76078055,3571.35089194526,213426.716920587
"35175",35175,2009-01-05,15,60.21128912,895.929881531774,NA,2009,1,2,15,3625.39933749223,218289.967685201,903.1693368,54380.9900623835,3274349.51527802,60.21128912,3625.39933749223,218289.967685201
"35176",35176,2009-01-05,16,60.66179769,908.263150242471,NA,2009,1,2,16,3679.85369898249,223226.540616474,970.58876304,58877.6591837198,3571624.64986358,60.66179769,3679.85369898249,223226.540616474
"35177",35177,2009-01-05,17,61.11230625,921.103485725146,NA,2009,1,2,17,3734.71397519379,228236.984208198,1038.90920625,63490.1375782944,3880028.73153936,61.11230625,3734.71397519379,228236.984208198
"35178",35178,2009-01-05,18,61.56281482,934.470669822016,NA,2009,1,2,18,3789.98016856161,233321.847288631,1108.13066676,68219.643034109,4199793.25119536,61.56281482,3789.98016856161,233321.847288631
"35179",35179,2009-01-05,19,62.01332339,948.384988953497,NA,2009,1,2,19,3845.65227787272,238481.678353211,1178.25314441,73067.3932795817,4531151.88871101,62.01332339,3845.65227787272,238481.678353211
"35180",35180,2009-01-05,20,62.46383196,962.867234061081,NA,2009,1,2,20,3901.73030312712,243717.026007772,1249.2766392,78034.6060625424,4874340.52015544,62.46383196,3901.73030312712,243717.026007772
"35181",35181,2009-01-05,21,62.91434053,977.938700623896,NA,2009,1,2,21,3958.2142443248,249028.438858147,1321.20115113,83122.4991308208,5229597.21602109,62.91434053,3958.2142443248,249028.438858147
"35182",35182,2009-01-05,22,63.3648491,993.62118865871,NA,2009,1,2,22,4015.10410146577,254416.46551017,1394.0266802,88332.290232247,5597162.24122373,63.3648491,4015.10410146577,254416.46551017
"35183",35183,2009-01-05,23,63.81535766,1009.93700266353,NA,2009,1,2,23,4072.39987327372,259881.654447501,1467.75322618,93665.1970852956,5977278.05229253,63.81535766,4072.39987327372,259881.654447501
"35184",35184,2009-01-05,24,64.26586623,1026.90895183134,NA,2009,1,2,24,4130.10156229225,265424.554518588,1542.38078952,99122.4374950141,6370189.30844611,64.26586623,4130.10156229225,265424.554518588
"35185",35185,2009-01-06,1,53.90652338,766.803064739894,NA,2009,1,3,1,2905.91326291849,156647.681247768,53.90652338,2905.91326291849,156647.681247768,53.90652338,2905.91326291849,156647.681247768
"35186",35186,2009-01-06,2,54.35703195,773.833283099177,NA,2009,1,3,2,2954.68692241332,160608.011443868,108.7140639,5909.37384482664,321216.022887736,54.35703195,2954.68692241332,160608.011443868
"35187",35187,2009-01-06,3,54.80754052,781.146643973186,NA,2009,1,3,3,3003.86649785144,164634.534797663,164.42262156,9011.59949355433,493903.60439299,54.80754052,3003.86649785144,164634.534797663
"35188",35188,2009-01-06,4,55.25804909,788.755867678688,NA,2009,1,3,4,3053.45198923285,168727.799914987,221.03219636,12213.8079569314,674911.199659948,55.25804909,3053.45198923285,168727.799914987
"35189",35189,2009-01-06,5,55.70855765,796.674179171616,NA,2009,1,3,5,3103.44339544337,172888.355308569,278.54278825,15517.2169772169,864441.776542845,55.70855765,3103.44339544337,172888.355308569
"35190",35190,2009-01-06,6,56.15906622,804.915307634471,NA,2009,1,3,6,3153.84071870234,177116.749768937,336.95439732,18923.0443122141,1062700.49861362,56.15906622,3153.84071870234,177116.749768937
"35191",35191,2009-01-06,7,56.60957479,813.493487104701,NA,2009,1,3,7,3204.6439579046,181413.531810322,396.26702353,22432.5077053322,1269894.72267226,56.60957479,3204.6439579046,181413.531810322
"35192",35192,2009-01-06,8,57.06008336,822.423456049606,NA,2009,1,3,8,3255.85311305015,185779.250038557,456.48066688,26046.8249044012,1486234.00030846,57.06008336,3255.85311305015,185779.250038557
"35193",35193,2009-01-06,9,57.51059193,831.720457474122,NA,2009,1,3,9,3307.46818413898,190214.453059475,517.59532737,29767.2136572508,1711930.07753527,57.51059193,3307.46818413898,190214.453059475
"35194",35194,2009-01-06,10,57.96110049,841.400238987657,NA,2009,1,3,10,3359.48917001188,194719.689378125,579.6110049,33594.8917001188,1947196.89378125,57.96110049,3359.48917001188,194719.689378125
"35195",35195,2009-01-06,11,58.41160906,851.479052529057,NA,2009,1,3,11,3411.91607297827,199295.507800337,642.52769966,37531.076802761,2192250.58580371,58.41160906,3411.91607297827,199295.507800337
"35196",35196,2009-01-06,12,58.86211763,861.973654790422,NA,2009,1,3,12,3464.74889188796,203942.456832721,706.34541156,41576.9867026555,2447309.48199265,58.86211763,3464.74889188796,203942.456832721
"35197",35197,2009-01-06,13,59.3126262,872.901306927222,NA,2009,1,3,13,3517.98762674093,208661.08508111,771.0641406,45733.839147632,2712594.10605443,59.3126262,3517.98762674093,208661.08508111
"35198",35198,2009-01-06,14,59.76313477,884.279774632561,NA,2009,1,3,14,3571.63227753718,213451.941151337,836.68388678,50002.8518855206,2988327.17611871,59.76313477,3571.63227753718,213451.941151337
"35199",35199,2009-01-06,15,60.21364334,896.127328137183,NA,2009,1,3,15,3625.68284427673,218315.573649236,903.2046501,54385.2426641509,3274733.60473853,60.21364334,3625.68284427673,218315.573649236
"35200",35200,2009-01-06,16,60.6641519,908.462742225986,NA,2009,1,3,16,3680.13932574627,223252.531070236,970.6264304,58882.2292119404,3572040.49712377,60.6641519,3680.13932574627,223252.531070236
"35201",35201,2009-01-06,17,61.11466047,921.305296162518,NA,2009,1,3,17,3735.00172436338,228263.362239332,1038.94922799,63495.0293141775,3880477.15806865,61.11466047,3735.00172436338,228263.362239332
"35202",35202,2009-01-06,18,61.56516904,934.674773816053,NA,2009,1,3,18,3790.27003892377,233348.61565359,1108.17304272,68224.8607006279,4200275.08176461,61.56516904,3790.27003892377,233348.61565359
"35203",35203,2009-01-06,19,62.01567761,948.591463567868,NA,2009,1,3,19,3845.94426942745,238508.83991884,1178.29787459,73072.9411191216,4531667.95845796,62.01567761,3845.94426942745,238508.83991884
"35204",35204,2009-01-06,20,62.46618618,963.076158336878,NA,2009,1,3,20,3902.02441587442,243744.583640917,1249.3237236,78040.4883174885,4874891.67281835,62.46618618,3902.02441587442,243744.583640917
